117.120.2.17_19.19.19.33,114376,250756,47936,747952,197772,73616,94040,68632,56328,92378,644450,121554,531572,946302,832230,903584,1933934,89122,91342,97580,210266,206314,208896,220168,131032,230306,51664,158000,62520,155884,59424,728746,430610,186098,54440,112632,90328,98064,89864,116760,70480,112656,249946,186060,196608,88496,93280,23416,214176,61032,53272,77661,150072,147348,224882,599602,475892,185214,193256,303210,541688,119000,1690988,191276,73096,84512,24968,79168,93120,146392,62000,135696,211400,368908,97068,893086,338710,293482,587110,762992,705472,249868,125080,80856,109160,49576,96576,53032,154236,477964,133236,490380,162112,163508,105972,299682,69960,166280,60752,96576,95288,107588,152792,180564,54560,39160,101640,165528,109280,71568,80696,143816,281688,101000,56008,79408,107592,98104,137184,141848,143536,162408,62404,70400,129692,175136,84632,147946,89016,56168,275014,112784,129224,206674,288622,235128,20264,132760,416856,409770,585540,121984,367726,526930,164432,118128,94498,130752,253438,738614,187200,159808,121248,159648,263618,6272,54640,94688,21672,85440,27824,66984,111256,134368,289358,130358,249396,144904,145144,126648,68716,51344,724974,261304,147808,43344,99546,153952,79082,67144,125000,103008,137330,127816,24928,32648,132332,159348,548802,861016,840594,282024,148444,249522,258008,336414,38720,111132,109120,619276,701888,1054990,656284,128660,160664,180328,90224,144184,281880,224320,130712,150376,191894,84072,121624,163976,73336,108744,128648,335288,104304,116224,96736,137466,67104,219968,77784,227606,82624,119888,147414,62000,125258,91316,113920,535690,542990,152584,93640,171000,91472,106708,110632,32848,24768,166336,102688,1176848,335882,213256,97218,190046,109160,94272,160140,49856,29552,59224,77840,91432,326968,155960,154192,38800,201312,106384,77440,15600,173052,35824,145184,75132,160024,119856,280600,151016,479122,772720,1143540,274926,347592,216432,122304,143312,216312,91392,193124,760910,104148,173128,138712,23280,85560,24968,77880,1568,0,0,0,0,
122.152.116.24_19.19.19.20,85669,247952,133656,50176,103392,180200,131712,76592,109480,107440,53312,230032,173874,151936,87648,48488,367080,237884,152944,51384,83912,224616,121624,14032,415472,383822,67316,145576,107992,293784,93678,107050,71766,728326,161066,113334,145672,176288,54198,114990,582406,248118,134312,74904,96816,134074,98184,97720,101160,57804,45392,51368,169272,159376,48448,68512,87688,109120,80896,88816,104736,85440,217172,535122,340960,104580,163880,94768,90024,179576,160952,248626,107952,79168,235096,79768,174656,102368,146640,87448,46840,241626,123232,95008,168304,116400,114952,62240,99672,150088,32688,218240,152824,126914,787528,199850,170944,146556,132948,94015,90132,93760,76392,79688,50176,339266,600192,581672,834876,421956,46720,99452,112136,149768,98184,70200,134018,74400,122104,448498,481000,340948,122220,895680,313032,123296,184944,147664,107832,565552,105744,79070,174576,192896,278798,352694,107688,162392,62360,156188,159176,370740,506014,60512,194088,52952,272200,637118,391506,99672,776444,866102,180648,1131974,127924,128964,45192,65696,165616,105808,78968,342742,484328,716356,117160,314928,150170,108928,97176,134728,184180,381154,417692,282056,190536,142976,62600,67424,64128,189466,260936,80798,73216,144340,42056,96536,103016,258188,227328,111776,128312,29352,69960,69976,142936,99752,77200,174128,529932,788030,133328,230284,537136,177992,122522,122832,58640,147440,292698,730770,809094,182784,427594,53032,450124,185362,113528,157048,597372,166456,639092,536816,94896,95168,123134,71888,34496,110728,245592,929002,287572,134736,71528,15520,123640,164968,178400,27904,76432,262672,759806,622606,606252,314184,79284,175864,96252,197960,135296,107352,119256,29592,256072,112864,102808,74464,121064,74824,232228,322972,420054,166420,429182,121504,781212,555486,73124,277208,157566,20184,511556,504946,106818,176906,309776,34202,279122,568308,876596,159814,153512,185392,84418,77812,125968,214464,124680,166096,214382,348856,316290,34496,104132,51304,46480,1690,0,1514,0,0,
130.133.3.130_19.19.19.12,57266,44006,72048,52371,180342,210836,119048,116044,239417,376242,222280,367460,33570,151976,297752,226306,257596,340530,148026,166446,344728,994576,195832,1108982,1084550,747738,177716,442892,349332,346942,168148,142908,109378,201482,233410,619358,478960,544542,714664,131208,264096,700506,636690,162180,316966,49776,204052,661396,479278,223396,127812,486046,99992,117448,73416,114560,447566,153578,181116,406152,88090,491594,228136,215288,453638,605224,368008,107270,670330,855264,1118432,559518,206692,689804,655956,118728,189426,143162,486450,73520,429466,248690,413402,752674,617606,770502,113664,48488,92258,82904,88896,101320,104656,276484,63648,285256,381270,54024,204542,803392,481150,134288,158714,558784,267638,127798,149728,375572,634882,38960,307918,719576,908526,161864,675414,1010788,883944,1589212,145010,164952,84352,112352,124276,296280,537360,191664,191610,839434,420784,57776,132440,358228,689328,945166,1386380,668860,432874,107564,285420,200710,364674,114024,504886,804194,106224,220636,76290,320860,192468,757498,149646,260090,431088,1472720,756054,206388,1151066,726670,791354,688322,942388,539092,874610,782746,228520,406340,478624,160866,378128,195720,456134,271666,485974,736518,244850,558624,359628,108192,422264,580580,166258,200778,32808,135038,80802,25008,135776,334762,692480,397874,869716,813170,264868,410092,281262,122588,408344,184244,206216,1041956,956502,1055920,656222,92822,133728,463700,1173996,288114,587414,148516,132508,537988,534478,221322,468334,34376,68712,630790,584848,505452,258828,594952,140560,331322,259480,92672,414204,61804,87488,169858,135296,335442,1028504,483346,80816,420058,560042,599920,110648,455410,659026,584996,210302,103168,402880,260342,196168,791540,1083878,52992,245726,574154,66984,95914,221488,130832,371672,213334,203568,678644,808128,170150,60832,49804,37392,278544,73256,170952,213078,197936,119612,51570,363066,359718,926032,1083186,65482,116348,210598,111762,220944,130472,180106,319336,124386,792098,597988,854474,1085514,60792,101160,153002,100918,342930,49614,9052,100,0,0,0,
130.161.131.20_19.19.19.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130.206.1.5_19.19.19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
130.225.254.116_19.19.19.8,108518,105326,383112,131824,315008,302310,120616,145128,35944,28008,54826,109508,65576,123392,103208,148840,168728,39026,824210,286592,88762,802064,1872416,833792,73496,113424,25048,74658,96774,611442,106946,142922,59680,45260,425498,86060,23320,65336,147396,265420,73012,938272,259760,109054,129224,183784,49856,141888,137024,180072,153034,115472,171740,75116,93920,104078,93474,138208,32608,199224,115512,74944,209608,311520,85376,64008,42016,355838,150906,23360,43344,136984,103114,200792,160384,118968,158656,106912,81982,10856,52952,101280,85800,45232,85680,100600,140040,74864,96896,115832,153064,73456,213576,115392,173448,48488,65336,105944,135336,79448,110608,65576,510558,675032,657064,714458,116566,51544,118608,175784,406132,237724,55586,169624,397744,654488,115152,509880,128136,117200,170072,74744,127386,290394,185552,221668,186190,336154,31160,57696,21872,217798,343916,192112,38760,70080,285148,314522,124840,99842,70360,106384,42096,142984,195360,131232,107352,159056,585710,267968,193712,534182,1325128,262592,285790,68472,165008,127976,32528,7760,49536,92840,120504,174616,102778,339024,138672,127776,148880,163228,202286,392014,417684,96094,193512,49536,123112,45472,170784,79728,160364,438194,207774,132560,383774,450752,99700,217960,258568,97704,139840,91454,97544,24848,63968,121504,80482,73136,131032,106104,69880,80576,60390,104456,57736,99712,60192,111376,79128,110432,76272,133088,99192,48368,123072,68552,23440,92112,108720,151056,123264,301492,274288,179520,106224,76552,102780,177632,78200,148684,199984,142376,49696,38480,37112,26456,72616,106752,51304,48048,105464,97784,82824,53152,84352,113944,96216,87288,163520,63848,147240,65296,131072,108428,80896,76152,257200,88696,42176,36912,52672,82784,130672,222172,68432,45392,178192,118048,341420,74784,248272,97056,239752,86588,140400,73176,76472,152904,184600,69960,249008,169088,241180,119256,89984,57148,37312,122596,189456,145144,35824,136944,180688,158924,336502,0,0,0,1514,0,
130.236.254.50_19.19.19.37,255316,520756,286098,982132,281000,184910,731460,215796,338500,225624,157488,111050,397760,71576,47040,37632,176584,73642,296012,71114,169550,304302,284370,279192,41976,45112,344456,916214,516420,149608,166730,418428,345574,871330,281662,72596,57696,49656,279880,88456,84152,186032,120256,79716,143536,40474,46800,200728,71808,195300,73656,87608,92304,164864,162272,160464,9408,94548,395736,245454,134671,328282,703842,96536,384204,490786,107136,277776,74544,464088,416286,126328,468160,827046,257556,171738,206626,1051706,750878,543708,701070,116928,141866,189936,198724,463714,761136,1245194,294044,430938,657708,662522,218360,301076,417176,156162,699694,925364,839258,305282,156664,227320,481650,445076,157888,139244,191354,79528,73960,799028,552516,145498,291598,526148,130672,139880,503350,489606,51464,529178,46720,454168,182336,314926,162232,463024,132992,154712,71512,73096,163680,139960,214824,98948,104430,250246,212926,172074,409348,209520,494208,275390,426004,91792,318316,864614,902408,408018,45272,163666,161184,359128,1447136,171072,581712,67104,127714,249546,168926,204390,112682,393360,564680,77892,448180,735272,692862,568846,173888,152098,758984,337878,181744,823092,703528,447084,279380,92512,93978,156910,79848,286670,226432,112404,590050,669348,748164,193838,278912,308126,490560,97730,697048,774224,212744,610516,371854,130992,701756,190278,92394,86848,563992,532868,82744,226612,57392,165640,222522,219514,234698,1128354,142696,519448,181892,390010,458736,181340,560704,450232,292776,680920,160316,191932,98188,170042,609176,167622,115416,182816,679718,235568,152144,429224,654414,594470,351406,87008,319226,119536,200552,168506,40192,60872,110264,185576,569476,345910,442072,771870,467072,69760,422342,84988,232310,537038,289770,488650,184956,144716,149436,135760,118408,620738,677612,489902,43168,196008,513458,72850,70240,119958,133288,49736,104056,84072,122628,59236,122960,604310,126848,71368,247052,898396,1191974,36736,122672,199404,70000,287170,458606,267478,363836,733978,381662,54,1474,0,0,0,
130.75.2.22_19.19.19.13,141296,76839,210803,301918,100440,319600,90944,700343,347679,179606,92472,73488,240299,188252,358638,226040,726118,299879,106380,43290,454192,101280,700016,756772,118408,561832,95474,107912,135680,122992,62520,158172,75184,164272,907376,221530,218022,270054,99134,449714,174616,54840,550332,121428,226010,64140,360744,388356,312080,317720,297706,368716,109384,101344,469622,569524,102348,270334,288438,85356,538052,1091142,625106,253228,308380,220168,130746,278564,99298,217444,100760,375762,128296,167964,929082,71928,252176,309564,375800,70200,83708,180764,280606,183054,450994,403544,633432,76192,115988,209590,526538,711138,134020,72800,143598,585244,384558,155180,592378,73056,511846,999594,953022,163004,147510,392856,538112,116880,46800,282404,133220,44734,129424,103408,113446,147680,208588,180940,404878,117178,607742,932262,654864,145664,371658,107512,108072,54386,51584,126316,171240,38880,441644,1111678,338908,96418,421558,201460,102202,481782,260810,49776,192616,374432,86080,181696,62080,211934,248880,114276,654100,87664,153540,377918,283248,400394,323254,215000,627972,234538,152970,503090,689022,328066,202840,457442,470608,392052,70520,75184,94070,295520,1695592,268088,291092,899656,76512,125280,31240,60992,220766,98504,188070,463226,446684,463766,165408,162232,550926,1120096,863580,810156,400202,289838,348622,154566,634770,55910,377668,147250,120630,234840,637246,145840,232822,186114,55754,154984,172060,96312,105760,140310,122312,387908,511216,528066,615730,492020,232862,183544,646788,792192,272248,163876,54384,218080,109200,71728,123352,231540,921848,260178,191792,376042,97004,103652,367104,473246,76352,114616,87918,87088,215712,344972,513758,251268,192794,95590,448186,737550,566068,854172,220628,114664,201658,652966,545450,206668,121744,73904,148728,173328,38960,133620,47912,109520,479274,741076,178118,260850,877068,346964,386140,601252,113904,113290,171366,183820,245666,1582558,2167862,962546,109414,424412,241320,116280,247192,145910,627598,24954,172214,225232,161546,122550,445184,21418,162,0,0,0,
137.189.4.14_19.19.19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140.117.11.7_19.19.19.39,127996,86208,113456,238748,78688,191056,197448,110948,53232,159696,120576,89336,229920,96962,202646,154818,77704,217512,102754,200952,115272,270344,142128,43704,74744,111896,108152,59584,84312,96656,204736,79968,82984,206456,52712,148400,82462,713384,117666,347111,162136,192140,110728,94996,49976,166454,120054,353908,633239,132328,718920,873576,146346,426634,586932,619054,106926,72932,71488,98264,113944,314668,674358,193192,45180,74904,42136,197056,83816,194536,143664,77720,147072,123152,148968,166880,83868,121104,120624,138672,126044,102728,154348,51464,90584,121912,208812,134088,151816,49816,29752,35904,216712,122540,143296,114024,224072,70040,228536,48288,93360,34256,54520,65496,125240,23440,113944,34296,171720,74544,104496,159296,121744,165200,177312,193352,213012,138152,306110,482160,54680,201312,56184,94000,107488,129504,130484,634142,81256,103668,104336,60552,132106,69720,211128,57816,32808,132680,84176,159376,870324,113306,377044,452532,66184,249800,467626,164344,143696,71928,216752,311680,183784,117992,233076,155680,255072,68592,196536,32528,66824,74384,69600,165648,123392,104376,169712,196368,67384,92152,44858,96536,100888,133608,84352,43264,65656,56368,98772,62520,51584,151376,52938,62440,42136,37392,68832,81056,76192,96176,217160,98872,89864,75860,175630,768364,55118,407472,65536,60888,96176,48048,73216,85264,271032,87088,63768,48008,613584,205584,1061734,1411662,355380,177776,164878,102608,146672,90410,62000,191384,166774,153268,183784,806892,663632,1020310,521792,57736,169934,168568,105744,29392,63848,83792,99392,127416,58904,62240,68632,105184,273388,68192,503498,615104,119936,68402,88696,194810,221810,158816,97744,241824,960460,627186,73336,126208,68376,107712,186800,145392,41816,97018,139584,101096,493716,757634,520564,128022,187400,85504,215690,86160,139880,146018,121424,317272,115472,225232,198500,651418,608400,225902,270642,90116,90128,80896,54320,82172,169402,224572,126046,132178,76136,123300,264520,54,0,1514,0,0,
