117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.544146,moderate
122.152.116.24_19.19.19.20.out.average,-0.107818,very-weak
130.133.3.130_19.19.19.12.out.average,0.055059,very-weak
130.161.131.20_19.19.19.21.out.average,0.137613,very-weak
130.206.1.5_19.19.19.35.out.average,-0.001122,very-weak
130.225.254.116_19.19.19.8.out.average,-0.079666,very-weak
130.236.254.50_19.19.19.37.out.average,-0.046306,very-weak
130.75.2.22_19.19.19.13.out.average,0.020892,very-weak
137.189.4.14_19.19.19.15.out.average,0.028740,very-weak
140.117.11.7_19.19.19.39.out.average,0.066190,very-weak
140.128.9.18_19.19.19.38.out.average,0.051750,very-weak
141.217.0.199_19.19.19.47.out.average,-0.069505,very-weak
147.102.222.211_19.19.19.14.out.average,0.010368,very-weak
149.20.37.36_19.19.19.22.out.average,0.009547,very-weak
153.19.251.225_19.19.19.28.out.average,0.012319,very-weak
155.210.4.101_19.19.19.34.out.average,0.084168,very-weak
162.213.3.248_19.19.19.49.out.average,0.064908,very-weak
163.1.160.163_19.19.19.46.out.average,0.049476,very-weak
163.178.174.25_19.19.19.6.out.average,0.086622,very-weak
185.87.121.190_19.19.19.41.out.average,0.052235,very-weak
192.38.78.162_19.19.19.7.out.average,0.015952,very-weak
193.136.164.6_19.19.19.29.out.average,-0.071180,very-weak
193.166.3.3_19.19.19.9.out.average,0.071212,very-weak
193.6.176.62_19.19.19.16.out.average,0.047360,very-weak
194.105.226.20_19.19.19.17.out.average,-0.122584,very-weak
194.116.84.15_19.19.19.18.out.average,0.022796,very-weak
194.2.0.36_19.19.19.10.out.average,-0.077789,very-weak
195.14.50.21_19.19.19.32.out.average,0.059176,very-weak
202.28.209.254_19.19.19.40.out.average,0.019310,very-weak
202.38.97.230_19.19.19.4.out.average,-0.031928,very-weak
202.8.44.105_19.19.19.23.out.average,0.014686,very-weak
202.90.159.172_19.19.19.25.out.average,0.081393,very-weak
203.0.178.32_19.19.19.1.out.average,-0.020850,very-weak
203.178.132.80_19.19.19.19.out.average,-0.001894,very-weak
212.110.161.69_19.19.19.45.out.average,0.014535,very-weak
212.191.2.18_19.19.19.26.out.average,0.028799,very-weak
212.191.2.18_19.19.19.27.out.average,0.060830,very-weak
212.47.239.32_19.19.19.11.out.average,0.076044,very-weak
213.166.187.92_19.19.19.36.out.average,0.091069,very-weak
213.229.119.169_19.19.19.44.out.average,0.046150,very-weak
219.216.128.25_19.19.19.5.out.average,-0.015534,very-weak
23.79.234.240_19.19.19.48.out.average,-0.084796,very-weak
31.193.177.85_19.19.19.2.out.average,0.021154,very-weak
5.101.158.166_19.19.19.31.out.average,0.080526,very-weak
58.28.25.150_19.19.19.24.out.average,-0.028925,very-weak
62.44.96.38_19.19.19.3.out.average,-0.025437,very-weak
78.154.171.62_19.19.19.43.out.average,-0.015529,very-weak
78.96.7.8_19.19.19.30.out.average,-0.112553,very-weak
95.173.191.11_19.19.19.42.out.average,-0.038536,very-weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.063988,very-weak
122.152.116.24_19.19.19.20.out.average,0.594508,strong
130.133.3.130_19.19.19.12.out.average,-0.051443,very-weak
130.161.131.20_19.19.19.21.out.average,-0.024200,very-weak
130.206.1.5_19.19.19.35.out.average,0.137985,very-weak
130.225.254.116_19.19.19.8.out.average,0.088349,very-weak
130.236.254.50_19.19.19.37.out.average,0.040316,very-weak
130.75.2.22_19.19.19.13.out.average,0.066727,very-weak
137.189.4.14_19.19.19.15.out.average,-0.065476,very-weak
140.117.11.7_19.19.19.39.out.average,0.008727,very-weak
140.128.9.18_19.19.19.38.out.average,0.031474,very-weak
141.217.0.199_19.19.19.47.out.average,0.093140,very-weak
147.102.222.211_19.19.19.14.out.average,-0.027525,very-weak
149.20.37.36_19.19.19.22.out.average,-0.043443,very-weak
153.19.251.225_19.19.19.28.out.average,-0.020169,very-weak
155.210.4.101_19.19.19.34.out.average,-0.069314,very-weak
162.213.3.248_19.19.19.49.out.average,-0.073846,very-weak
163.1.160.163_19.19.19.46.out.average,0.076834,very-weak
163.178.174.25_19.19.19.6.out.average,0.004269,very-weak
185.87.121.190_19.19.19.41.out.average,0.121990,very-weak
192.38.78.162_19.19.19.7.out.average,-0.064189,very-weak
193.136.164.6_19.19.19.29.out.average,0.075364,very-weak
193.166.3.3_19.19.19.9.out.average,-0.012443,very-weak
193.6.176.62_19.19.19.16.out.average,0.088366,very-weak
194.105.226.20_19.19.19.17.out.average,0.029754,very-weak
194.116.84.15_19.19.19.18.out.average,-0.029893,very-weak
194.2.0.36_19.19.19.10.out.average,-0.062147,very-weak
195.14.50.21_19.19.19.32.out.average,0.071883,very-weak
202.28.209.254_19.19.19.40.out.average,-0.129799,very-weak
202.38.97.230_19.19.19.4.out.average,0.023322,very-weak
202.8.44.105_19.19.19.23.out.average,0.082581,very-weak
202.90.159.172_19.19.19.25.out.average,-0.001155,very-weak
203.0.178.32_19.19.19.1.out.average,-0.049343,very-weak
203.178.132.80_19.19.19.19.out.average,0.104407,very-weak
212.110.161.69_19.19.19.45.out.average,0.010933,very-weak
212.191.2.18_19.19.19.26.out.average,-0.024902,very-weak
212.191.2.18_19.19.19.27.out.average,0.020334,very-weak
212.47.239.32_19.19.19.11.out.average,-0.026177,very-weak
213.166.187.92_19.19.19.36.out.average,0.051806,very-weak
213.229.119.169_19.19.19.44.out.average,-0.005460,very-weak
