117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.999993,very-strong
122.152.116.24_19.19.19.20.out.average,-0.014129,very-weak
130.133.3.130_19.19.19.12.out.average,0.267703,weak
130.161.131.20_19.19.19.21.out.average,-0.010377,very-weak
130.206.1.5_19.19.19.35.out.average,-0.177441,very-weak
130.225.254.116_19.19.19.8.out.average,0.059030,very-weak
130.236.254.50_19.19.19.37.out.average,0.177758,very-weak
130.75.2.22_19.19.19.13.out.average,-0.054280,very-weak
137.189.4.14_19.19.19.15.out.average,0.313906,weak
140.117.11.7_19.19.19.39.out.average,0.006009,very-weak
140.128.9.18_19.19.19.38.out.average,0.031410,very-weak
141.217.0.199_19.19.19.47.out.average,0.155640,very-weak
147.102.222.211_19.19.19.14.out.average,0.197705,weak
149.20.37.36_19.19.19.22.out.average,0.080175,very-weak
153.19.251.225_19.19.19.28.out.average,0.099816,very-weak
155.210.4.101_19.19.19.34.out.average,-0.007748,very-weak
162.213.3.248_19.19.19.49.out.average,-0.001142,very-weak
163.1.160.163_19.19.19.46.out.average,-0.003280,very-weak
163.178.174.25_19.19.19.6.out.average,-0.100925,very-weak
185.87.121.190_19.19.19.41.out.average,0.354130,weak
192.38.78.162_19.19.19.7.out.average,0.025223,very-weak
193.136.164.6_19.19.19.29.out.average,-0.181949,very-weak
193.166.3.3_19.19.19.9.out.average,-0.131639,very-weak
193.6.176.62_19.19.19.16.out.average,-0.018255,very-weak
194.105.226.20_19.19.19.17.out.average,-0.130009,very-weak
194.116.84.15_19.19.19.18.out.average,0.100678,very-weak
194.2.0.36_19.19.19.10.out.average,-0.013225,very-weak
195.14.50.21_19.19.19.32.out.average,0.184373,very-weak
202.28.209.254_19.19.19.40.out.average,-0.104280,very-weak
202.38.97.230_19.19.19.4.out.average,0.117544,very-weak
202.8.44.105_19.19.19.23.out.average,0.038587,very-weak
202.90.159.172_19.19.19.25.out.average,-0.022044,very-weak
203.0.178.32_19.19.19.1.out.average,0.110950,very-weak
203.178.132.80_19.19.19.19.out.average,0.030606,very-weak
212.110.161.69_19.19.19.45.out.average,-0.095611,very-weak
212.191.2.18_19.19.19.26.out.average,0.201278,weak
212.191.2.18_19.19.19.27.out.average,0.166438,very-weak
212.47.239.32_19.19.19.11.out.average,0.069794,very-weak
213.166.187.92_19.19.19.36.out.average,0.308767,weak
213.229.119.169_19.19.19.44.out.average,0.193592,weak
219.216.128.25_19.19.19.5.out.average,0.033617,very-weak
23.79.234.240_19.19.19.48.out.average,0.165465,very-weak
31.193.177.85_19.19.19.2.out.average,-0.031544,very-weak
5.101.158.166_19.19.19.31.out.average,0.005675,very-weak
58.28.25.150_19.19.19.24.out.average,0.184459,very-weak
62.44.96.38_19.19.19.3.out.average,-0.013287,very-weak
78.154.171.62_19.19.19.43.out.average,0.007188,very-weak
78.96.7.8_19.19.19.30.out.average,0.103415,very-weak
95.173.191.11_19.19.19.42.out.average,0.115433,very-weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.013962,very-weak
122.152.116.24_19.19.19.20.out.average,0.999998,very-strong
130.133.3.130_19.19.19.12.out.average,0.046011,very-weak
130.161.131.20_19.19.19.21.out.average,-0.106349,very-weak
130.206.1.5_19.19.19.35.out.average,-0.129106,very-weak
130.225.254.116_19.19.19.8.out.average,0.059303,very-weak
130.236.254.50_19.19.19.37.out.average,0.081142,very-weak
130.75.2.22_19.19.19.13.out.average,-0.156068,very-weak
137.189.4.14_19.19.19.15.out.average,0.195180,weak
140.117.11.7_19.19.19.39.out.average,0.093945,very-weak
140.128.9.18_19.19.19.38.out.average,-0.083223,very-weak
141.217.0.199_19.19.19.47.out.average,-0.105074,very-weak
147.102.222.211_19.19.19.14.out.average,0.377185,weak
149.20.37.36_19.19.19.22.out.average,-0.103387,very-weak
153.19.251.225_19.19.19.28.out.average,0.000401,very-weak
155.210.4.101_19.19.19.34.out.average,0.037042,very-weak
162.213.3.248_19.19.19.49.out.average,-0.113629,very-weak
163.1.160.163_19.19.19.46.out.average,0.112123,very-weak
163.178.174.25_19.19.19.6.out.average,0.237863,weak
185.87.121.190_19.19.19.41.out.average,0.117539,very-weak
192.38.78.162_19.19.19.7.out.average,-0.148218,very-weak
193.136.164.6_19.19.19.29.out.average,-0.040180,very-weak
193.166.3.3_19.19.19.9.out.average,0.385230,weak
193.6.176.62_19.19.19.16.out.average,0.478666,moderate
194.105.226.20_19.19.19.17.out.average,0.333791,weak
194.116.84.15_19.19.19.18.out.average,0.274996,weak
194.2.0.36_19.19.19.10.out.average,0.054401,very-weak
195.14.50.21_19.19.19.32.out.average,0.271741,weak
202.28.209.254_19.19.19.40.out.average,0.352496,weak
202.38.97.230_19.19.19.4.out.average,-0.080542,very-weak
202.8.44.105_19.19.19.23.out.average,-0.130796,very-weak
202.90.159.172_19.19.19.25.out.average,0.327876,weak
203.0.178.32_19.19.19.1.out.average,-0.085728,very-weak
203.178.132.80_19.19.19.19.out.average,0.061425,very-weak
212.110.161.69_19.19.19.45.out.average,0.225370,weak
212.191.2.18_19.19.19.26.out.average,-0.037829,very-weak
212.191.2.18_19.19.19.27.out.average,0.041684,very-weak
212.47.239.32_19.19.19.11.out.average,-0.016926,very-weak
213.166.187.92_19.19.19.36.out.average,-0.044357,very-weak
213.229.119.169_19.19.19.44.out.average,0.032378,very-weak
219.216.128.25_19.19.19.5.out.average,0.032416,very-weak
23.79.234.240_19.19.19.48.out.average,0.179296,very-weak
31.193.177.85_19.19.19.2.out.average,0.099705,very-weak
5.101.158.166_19.19.19.31.out.average,-0.084417,very-weak
58.28.25.150_19.19.19.24.out.average,0.205679,weak
62.44.96.38_19.19.19.3.out.average,0.103525,very-weak
78.154.171.62_19.19.19.43.out.average,0.033352,very-weak
