117.120.2.17_19.19.19.33.out.average, 
130.236.254.50_19.19.19.37.out.average,-0.062392,very-weak
130.75.2.22_19.19.19.13.out.average,0.369446,weak
137.189.4.14_19.19.19.15.out.average,0.029224,very-weak
140.117.11.7_19.19.19.39.out.average,-0.109098,very-weak
140.128.9.18_19.19.19.38.out.average,-0.065942,very-weak
141.217.0.199_19.19.19.47.out.average,-0.037837,very-weak
147.102.222.211_19.19.19.14.out.average,0.034852,very-weak
149.20.37.36_19.19.19.22.out.average,-0.118161,very-weak
153.19.251.225_19.19.19.28.out.average,0.010829,very-weak
155.210.4.101_19.19.19.34.out.average,-0.110602,very-weak
162.213.3.248_19.19.19.49.out.average,0.057457,very-weak
163.1.160.163_19.19.19.46.out.average,-0.094994,very-weak
163.178.174.25_19.19.19.6.out.average,-0.138025,very-weak
185.87.121.190_19.19.19.41.out.average,-0.078610,very-weak
192.38.78.162_19.19.19.7.out.average,0.225480,weak
193.136.164.6_19.19.19.29.out.average,-0.086198,very-weak
193.166.3.3_19.19.19.9.out.average,-0.009356,very-weak
193.6.176.62_19.19.19.16.out.average,-0.079183,very-weak
194.105.226.20_19.19.19.17.out.average,0.079287,very-weak
194.116.84.15_19.19.19.18.out.average,0.211336,weak
194.2.0.36_19.19.19.10.out.average,0.546451,moderate
195.14.50.21_19.19.19.32.out.average,-0.072678,very-weak
202.28.209.254_19.19.19.40.out.average,-0.086810,very-weak
202.38.97.230_19.19.19.4.out.average,0.321927,weak
202.8.44.105_19.19.19.23.out.average,-0.006140,very-weak
202.90.159.172_19.19.19.25.out.average,-0.048454,very-weak
203.0.178.32_19.19.19.1.out.average,-0.051926,very-weak
203.178.132.80_19.19.19.19.out.average,0.013350,very-weak
212.110.161.69_19.19.19.45.out.average,0.159109,very-weak
212.191.2.18_19.19.19.26.out.average,-0.086803,very-weak
212.191.2.18_19.19.19.27.out.average,-0.152971,very-weak
212.47.239.32_19.19.19.11.out.average,0.398935,moderate
213.166.187.92_19.19.19.36.out.average,0.063244,very-weak
213.229.119.169_19.19.19.44.out.average,-0.050259,very-weak
219.216.128.25_19.19.19.5.out.average,0.169990,very-weak
23.79.234.240_19.19.19.48.out.average,-0.124749,very-weak
31.193.177.85_19.19.19.2.out.average,0.634031,strong
5.101.158.166_19.19.19.31.out.average,0.012105,very-weak
58.28.25.150_19.19.19.24.out.average,0.601762,strong
62.44.96.38_19.19.19.3.out.average,-0.152645,very-weak
78.154.171.62_19.19.19.43.out.average,0.050248,very-weak
78.96.7.8_19.19.19.30.out.average,-0.218269,weak
95.173.191.11_19.19.19.42.out.average,-0.028138,very-weak
130.161.131.20_19.19.19.21.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.021824,very-weak
122.152.116.24_19.19.19.20.out.average,-0.149900,very-weak
130.133.3.130_19.19.19.12.out.average,0.023680,very-weak
130.161.131.20_19.19.19.21.out.average,0.999980,very-strong
130.206.1.5_19.19.19.35.out.average,0.181699,very-weak
130.225.254.116_19.19.19.8.out.average,0.063040,very-weak
130.236.254.50_19.19.19.37.out.average,-0.076184,very-weak
130.75.2.22_19.19.19.13.out.average,-0.196739,weak
137.189.4.14_19.19.19.15.out.average,-0.098902,very-weak
140.117.11.7_19.19.19.39.out.average,0.062998,very-weak
140.128.9.18_19.19.19.38.out.average,-0.245819,weak
141.217.0.199_19.19.19.47.out.average,0.053880,very-weak
147.102.222.211_19.19.19.14.out.average,0.306884,weak
149.20.37.36_19.19.19.22.out.average,0.189530,very-weak
153.19.251.225_19.19.19.28.out.average,-0.109217,very-weak
155.210.4.101_19.19.19.34.out.average,0.050977,very-weak
162.213.3.248_19.19.19.49.out.average,0.150040,very-weak
163.1.160.163_19.19.19.46.out.average,-0.097233,very-weak
163.178.174.25_19.19.19.6.out.average,-0.050723,very-weak
185.87.121.190_19.19.19.41.out.average,-0.047597,very-weak
192.38.78.162_19.19.19.7.out.average,-0.110056,very-weak
193.136.164.6_19.19.19.29.out.average,-0.059754,very-weak
193.166.3.3_19.19.19.9.out.average,-0.114291,very-weak
193.6.176.62_19.19.19.16.out.average,0.076205,very-weak
194.105.226.20_19.19.19.17.out.average,-0.038320,very-weak
194.116.84.15_19.19.19.18.out.average,-0.148699,very-weak
194.2.0.36_19.19.19.10.out.average,-0.050747,very-weak
195.14.50.21_19.19.19.32.out.average,-0.095303,very-weak
202.28.209.254_19.19.19.40.out.average,-0.100339,very-weak
202.38.97.230_19.19.19.4.out.average,-0.168931,very-weak
202.8.44.105_19.19.19.23.out.average,0.036321,very-weak
202.90.159.172_19.19.19.25.out.average,-0.011418,very-weak
203.0.178.32_19.19.19.1.out.average,-0.182928,very-weak
203.178.132.80_19.19.19.19.out.average,0.061595,very-weak
212.110.161.69_19.19.19.45.out.average,-0.095580,very-weak
212.191.2.18_19.19.19.26.out.average,-0.028353,very-weak
212.191.2.18_19.19.19.27.out.average,-0.147719,very-weak
212.47.239.32_19.19.19.11.out.average,0.006558,very-weak
213.166.187.92_19.19.19.36.out.average,-0.066304,very-weak
213.229.119.169_19.19.19.44.out.average,-0.213741,weak
219.216.128.25_19.19.19.5.out.average,0.113329,very-weak
23.79.234.240_19.19.19.48.out.average,0.181920,very-weak
31.193.177.85_19.19.19.2.out.average,0.025385,very-weak
5.101.158.166_19.19.19.31.out.average,0.135016,very-weak
58.28.25.150_19.19.19.24.out.average,0.149415,very-weak
62.44.96.38_19.19.19.3.out.average,-0.055058,very-weak
78.154.171.62_19.19.19.43.out.average,-0.016384,very-weak
78.96.7.8_19.19.19.30.out.average,-0.033471,very-weak
95.173.191.11_19.19.19.42.out.average,0.070938,very-weak
130.206.1.5_19.19.19.35.out.average, 
117.120.2.17_19.19.19.33.out.average,0.070208,very-weak
122.152.116.24_19.19.19.20.out.average,-0.104558,very-weak
130.133.3.130_19.19.19.12.out.average,-0.070996,very-weak
130.161.131.20_19.19.19.21.out.average,0.181696,very-weak
130.206.1.5_19.19.19.35.out.average,1.000000,very-strong
130.225.254.116_19.19.19.8.out.average,0.188430,very-weak
130.236.254.50_19.19.19.37.out.average,-0.075700,very-weak
130.75.2.22_19.19.19.13.out.average,-0.302765,weak
137.189.4.14_19.19.19.15.out.average,0.021889,very-weak
140.117.11.7_19.19.19.39.out.average,0.281254,weak
140.128.9.18_19.19.19.38.out.average,0.273063,weak
141.217.0.199_19.19.19.47.out.average,0.569978,moderate
147.102.222.211_19.19.19.14.out.average,0.084648,very-weak
149.20.37.36_19.19.19.22.out.average,0.342376,weak
153.19.251.225_19.19.19.28.out.average,0.344612,weak
155.210.4.101_19.19.19.34.out.average,0.380916,weak
162.213.3.248_19.19.19.49.out.average,0.533722,moderate
163.1.160.163_19.19.19.46.out.average,-0.052518,very-weak
163.178.174.25_19.19.19.6.out.average,0.212263,weak
185.87.121.190_19.19.19.41.out.average,-0.052036,very-weak
192.38.78.162_19.19.19.7.out.average,-0.186518,very-weak
193.136.164.6_19.19.19.29.out.average,0.026625,very-weak
