117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.994147,very-strong
122.152.116.24_19.19.19.20.out.average,-0.072156,very-weak
130.133.3.130_19.19.19.12.out.average,-0.039435,very-weak
130.161.131.20_19.19.19.21.out.average,0.050212,very-weak
130.206.1.5_19.19.19.35.out.average,0.503818,moderate
130.225.254.116_19.19.19.8.out.average,0.159083,very-weak
130.236.254.50_19.19.19.37.out.average,-0.156533,very-weak
130.75.2.22_19.19.19.13.out.average,0.431721,moderate
137.189.4.14_19.19.19.15.out.average,-0.131035,very-weak
140.117.11.7_19.19.19.39.out.average,0.011858,very-weak
140.128.9.18_19.19.19.38.out.average,-0.039329,very-weak
141.217.0.199_19.19.19.47.out.average,-0.084112,very-weak
147.102.222.211_19.19.19.14.out.average,-0.003969,very-weak
149.20.37.36_19.19.19.22.out.average,0.042591,very-weak
153.19.251.225_19.19.19.28.out.average,0.066785,very-weak
155.210.4.101_19.19.19.34.out.average,-0.015693,very-weak
162.213.3.248_19.19.19.49.out.average,0.055749,very-weak
163.1.160.163_19.19.19.46.out.average,0.534262,moderate
163.178.174.25_19.19.19.6.out.average,-0.061215,very-weak
185.87.121.190_19.19.19.41.out.average,-0.014454,very-weak
192.38.78.162_19.19.19.7.out.average,0.499076,moderate
193.136.164.6_19.19.19.29.out.average,0.088731,very-weak
193.166.3.3_19.19.19.9.out.average,0.124012,very-weak
193.6.176.62_19.19.19.16.out.average,0.100458,very-weak
194.105.226.20_19.19.19.17.out.average,0.109841,very-weak
194.116.84.15_19.19.19.18.out.average,-0.019955,very-weak
194.2.0.36_19.19.19.10.out.average,-0.004917,very-weak
195.14.50.21_19.19.19.32.out.average,0.563603,moderate
198.145.20.143_19.19.19.22.out.average,-0.076278,very-weak
202.28.209.254_19.19.19.40.out.average,-0.000276,very-weak
202.38.97.230_19.19.19.4.out.average,-0.069591,very-weak
202.8.44.105_19.19.19.23.out.average,0.439118,moderate
202.90.159.172_19.19.19.25.out.average,0.043647,very-weak
203.0.178.32_19.19.19.1.out.average,0.256408,weak
203.178.132.80_19.19.19.19.out.average,-0.031193,very-weak
212.110.161.69_19.19.19.45.out.average,0.146958,very-weak
212.191.2.18_19.19.19.26.out.average,-0.013058,very-weak
212.191.2.18_19.19.19.27.out.average,0.088622,very-weak
212.47.239.32_19.19.19.11.out.average,0.270811,weak
213.166.187.92_19.19.19.36.out.average,0.111637,very-weak
213.229.119.169_19.19.19.44.out.average,-0.062801,very-weak
219.216.128.25_19.19.19.5.out.average,0.062315,very-weak
23.79.234.240_19.19.19.48.out.average,0.039815,very-weak
31.193.177.85_19.19.19.2.out.average,0.386202,weak
5.101.158.166_19.19.19.31.out.average,0.024093,very-weak
58.28.25.150_19.19.19.24.out.average,-0.048123,very-weak
62.44.96.38_19.19.19.3.out.average,0.032794,very-weak
78.154.171.62_19.19.19.43.out.average,-0.050263,very-weak
78.96.7.8_19.19.19.30.out.average,0.031369,very-weak
95.173.191.11_19.19.19.42.out.average,-0.054171,very-weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.076318,very-weak
122.152.116.24_19.19.19.20.out.average,0.994952,very-strong
130.133.3.130_19.19.19.12.out.average,0.672344,strong
130.161.131.20_19.19.19.21.out.average,-0.106836,very-weak
130.206.1.5_19.19.19.35.out.average,-0.170991,very-weak
130.225.254.116_19.19.19.8.out.average,-0.063345,very-weak
130.236.254.50_19.19.19.37.out.average,-0.051223,very-weak
130.75.2.22_19.19.19.13.out.average,-0.038894,very-weak
137.189.4.14_19.19.19.15.out.average,-0.018636,very-weak
140.117.11.7_19.19.19.39.out.average,-0.169278,very-weak
140.128.9.18_19.19.19.38.out.average,0.589681,moderate
141.217.0.199_19.19.19.47.out.average,0.043819,very-weak
147.102.222.211_19.19.19.14.out.average,-0.126974,very-weak
149.20.37.36_19.19.19.22.out.average,0.206117,weak
153.19.251.225_19.19.19.28.out.average,-0.083547,very-weak
155.210.4.101_19.19.19.34.out.average,0.027960,very-weak
162.213.3.248_19.19.19.49.out.average,0.093623,very-weak
163.1.160.163_19.19.19.46.out.average,-0.034628,very-weak
163.178.174.25_19.19.19.6.out.average,-0.085541,very-weak
185.87.121.190_19.19.19.41.out.average,-0.000234,very-weak
192.38.78.162_19.19.19.7.out.average,-0.148993,very-weak
193.136.164.6_19.19.19.29.out.average,0.211733,weak
193.166.3.3_19.19.19.9.out.average,-0.031260,very-weak
193.6.176.62_19.19.19.16.out.average,-0.111038,very-weak
194.105.226.20_19.19.19.17.out.average,-0.134746,very-weak
194.116.84.15_19.19.19.18.out.average,-0.144038,very-weak
194.2.0.36_19.19.19.10.out.average,-0.019230,very-weak
195.14.50.21_19.19.19.32.out.average,0.114304,very-weak
198.145.20.143_19.19.19.22.out.average,0.132740,very-weak
202.28.209.254_19.19.19.40.out.average,-0.160675,very-weak
202.38.97.230_19.19.19.4.out.average,-0.074497,very-weak
202.8.44.105_19.19.19.23.out.average,-0.066899,very-weak
202.90.159.172_19.19.19.25.out.average,-0.112251,very-weak
203.0.178.32_19.19.19.1.out.average,-0.083244,very-weak
203.178.132.80_19.19.19.19.out.average,0.309667,weak
212.110.161.69_19.19.19.45.out.average,-0.009929,very-weak
212.191.2.18_19.19.19.26.out.average,0.209269,weak
212.191.2.18_19.19.19.27.out.average,0.190710,weak
212.47.239.32_19.19.19.11.out.average,0.172138,very-weak
213.166.187.92_19.19.19.36.out.average,-0.074525,very-weak
213.229.119.169_19.19.19.44.out.average,0.603989,strong
219.216.128.25_19.19.19.5.out.average,-0.059113,very-weak
23.79.234.240_19.19.19.48.out.average,0.124781,very-weak
31.193.177.85_19.19.19.2.out.average,0.033823,very-weak
5.101.158.166_19.19.19.31.out.average,0.142097,very-weak
58.28.25.150_19.19.19.24.out.average,0.539852,moderate
62.44.96.38_19.19.19.3.out.average,0.472426,moderate
78.154.171.62_19.19.19.43.out.average,0.565986,moderate
78.96.7.8_19.19.19.30.out.average,-0.204256,weak
95.173.191.11_19.19.19.42.out.average,0.125077,very-weak
130.133.3.130_19.19.19.12.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.038641,very-weak
122.152.116.24_19.19.19.20.out.average,0.666414,strong
130.133.3.130_19.19.19.12.out.average,1.000000,very-strong
130.161.131.20_19.19.19.21.out.average,-0.098702,very-weak
130.206.1.5_19.19.19.35.out.average,-0.166157,very-weak
130.225.254.116_19.19.19.8.out.average,-0.014360,very-weak
130.236.254.50_19.19.19.37.out.average,0.056149,very-weak
130.75.2.22_19.19.19.13.out.average,0.088755,very-weak
137.189.4.14_19.19.19.15.out.average,-0.022115,very-weak
140.117.11.7_19.19.19.39.out.average,-0.129161,very-weak
140.128.9.18_19.19.19.38.out.average,0.521826,moderate
141.217.0.199_19.19.19.47.out.average,0.096581,very-weak
147.102.222.211_19.19.19.14.out.average,-0.152403,very-weak
149.20.37.36_19.19.19.22.out.average,-0.108391,very-weak
153.19.251.225_19.19.19.28.out.average,0.012601,very-weak
155.210.4.101_19.19.19.34.out.average,-0.041646,very-weak
162.213.3.248_19.19.19.49.out.average,-0.110151,very-weak
163.1.160.163_19.19.19.46.out.average,-0.153601,very-weak
163.178.174.25_19.19.19.6.out.average,0.016012,very-weak
185.87.121.190_19.19.19.41.out.average,-0.166347,very-weak
192.38.78.162_19.19.19.7.out.average,-0.113124,very-weak
193.136.164.6_19.19.19.29.out.average,0.064185,very-weak
193.166.3.3_19.19.19.9.out.average,-0.079465,very-weak
193.6.176.62_19.19.19.16.out.average,-0.117071,very-weak
194.105.226.20_19.19.19.17.out.average,-0.078109,very-weak
194.116.84.15_19.19.19.18.out.average,-0.153148,very-weak
194.2.0.36_19.19.19.10.out.average,0.003736,very-weak
195.14.50.21_19.19.19.32.out.average,-0.019151,very-weak
198.145.20.143_19.19.19.22.out.average,-0.029582,very-weak
202.28.209.254_19.19.19.40.out.average,-0.095481,very-weak
202.38.97.230_19.19.19.4.out.average,-0.003749,very-weak
202.8.44.105_19.19.19.23.out.average,-0.124513,very-weak
202.90.159.172_19.19.19.25.out.average,-0.138923,very-weak
203.0.178.32_19.19.19.1.out.average,-0.074682,very-weak
203.178.132.80_19.19.19.19.out.average,0.206170,weak
212.110.161.69_19.19.19.45.out.average,0.126222,very-weak
212.191.2.18_19.19.19.26.out.average,0.124464,very-weak
212.191.2.18_19.19.19.27.out.average,-0.035223,very-weak
212.47.239.32_19.19.19.11.out.average,-0.053593,very-weak
213.166.187.92_19.19.19.36.out.average,-0.024490,very-weak
213.229.119.169_19.19.19.44.out.average,0.427578,moderate
219.216.128.25_19.19.19.5.out.average,0.011078,very-weak
23.79.234.240_19.19.19.48.out.average,-0.147371,very-weak
31.193.177.85_19.19.19.2.out.average,0.036655,very-weak
5.101.158.166_19.19.19.31.out.average,0.004806,very-weak
58.28.25.150_19.19.19.24.out.average,0.477542,moderate
62.44.96.38_19.19.19.3.out.average,0.306985,weak
78.154.171.62_19.19.19.43.out.average,0.407232,moderate
78.96.7.8_19.19.19.30.out.average,-0.188916,very-weak
95.173.191.11_19.19.19.42.out.average,-0.029790,very-weak
130.161.131.20_19.19.19.21.out.average, 
117.120.2.17_19.19.19.33.out.average,0.023571,very-weak
122.152.116.24_19.19.19.20.out.average,-0.109625,very-weak
130.133.3.130_19.19.19.12.out.average,-0.088840,very-weak
130.161.131.20_19.19.19.21.out.average,0.990407,very-strong
130.206.1.5_19.19.19.35.out.average,0.218010,weak
130.225.254.116_19.19.19.8.out.average,0.247624,weak
130.236.254.50_19.19.19.37.out.average,-0.088116,very-weak
130.75.2.22_19.19.19.13.out.average,-0.076177,very-weak
137.189.4.14_19.19.19.15.out.average,-0.128715,very-weak
140.117.11.7_19.19.19.39.out.average,0.415919,moderate
140.128.9.18_19.19.19.38.out.average,0.008460,very-weak
141.217.0.199_19.19.19.47.out.average,0.116342,very-weak
147.102.222.211_19.19.19.14.out.average,0.406027,moderate
149.20.37.36_19.19.19.22.out.average,-0.018022,very-weak
153.19.251.225_19.19.19.28.out.average,0.093829,very-weak
155.210.4.101_19.19.19.34.out.average,0.245987,weak
162.213.3.248_19.19.19.49.out.average,0.058498,very-weak
163.1.160.163_19.19.19.46.out.average,-0.007498,very-weak
163.178.174.25_19.19.19.6.out.average,0.098372,very-weak
185.87.121.190_19.19.19.41.out.average,0.224066,weak
192.38.78.162_19.19.19.7.out.average,0.136107,very-weak
193.136.164.6_19.19.19.29.out.average,-0.124475,very-weak
193.166.3.3_19.19.19.9.out.average,0.274885,weak
193.6.176.62_19.19.19.16.out.average,0.092361,very-weak
194.105.226.20_19.19.19.17.out.average,0.270886,weak
194.116.84.15_19.19.19.18.out.average,0.334396,weak
194.2.0.36_19.19.19.10.out.average,0.277714,weak
195.14.50.21_19.19.19.32.out.average,0.058084,very-weak
198.145.20.143_19.19.19.22.out.average,0.119158,very-weak
202.28.209.254_19.19.19.40.out.average,0.274484,weak
202.38.97.230_19.19.19.4.out.average,-0.017749,very-weak
202.8.44.105_19.19.19.23.out.average,0.116738,very-weak
202.90.159.172_19.19.19.25.out.average,0.157789,very-weak
203.0.178.32_19.19.19.1.out.average,0.288147,weak
203.178.132.80_19.19.19.19.out.average,0.012040,very-weak
212.110.161.69_19.19.19.45.out.average,-0.011858,very-weak
212.191.2.18_19.19.19.26.out.average,-0.148006,very-weak
212.191.2.18_19.19.19.27.out.average,-0.028936,very-weak
212.47.239.32_19.19.19.11.out.average,-0.029224,very-weak
213.166.187.92_19.19.19.36.out.average,0.216562,weak
213.229.119.169_19.19.19.44.out.average,0.017582,very-weak
219.216.128.25_19.19.19.5.out.average,-0.052028,very-weak
23.79.234.240_19.19.19.48.out.average,0.068518,very-weak
31.193.177.85_19.19.19.2.out.average,0.143289,very-weak
5.101.158.166_19.19.19.31.out.average,0.230201,weak
58.28.25.150_19.19.19.24.out.average,-0.036106,very-weak
62.44.96.38_19.19.19.3.out.average,-0.031015,very-weak
78.154.171.62_19.19.19.43.out.average,0.076420,very-weak
78.96.7.8_19.19.19.30.out.average,0.441968,moderate
95.173.191.11_19.19.19.42.out.average,0.193481,weak
130.206.1.5_19.19.19.35.out.average, 
117.120.2.17_19.19.19.33.out.average,0.519187,moderate
122.152.116.24_19.19.19.20.out.average,-0.156737,very-weak
130.133.3.130_19.19.19.12.out.average,-0.157226,very-weak
130.161.131.20_19.19.19.21.out.average,0.232399,weak
130.206.1.5_19.19.19.35.out.average,0.993056,very-strong
130.225.254.116_19.19.19.8.out.average,0.045262,very-weak
130.236.254.50_19.19.19.37.out.average,-0.077720,very-weak
130.75.2.22_19.19.19.13.out.average,0.398219,moderate
137.189.4.14_19.19.19.15.out.average,-0.148028,very-weak
140.117.11.7_19.19.19.39.out.average,-0.025030,very-weak
140.128.9.18_19.19.19.38.out.average,-0.006202,very-weak
141.217.0.199_19.19.19.47.out.average,-0.044306,very-weak
147.102.222.211_19.19.19.14.out.average,-0.025801,very-weak
149.20.37.36_19.19.19.22.out.average,-0.093932,very-weak
153.19.251.225_19.19.19.28.out.average,-0.030432,very-weak
155.210.4.101_19.19.19.34.out.average,-0.059478,very-weak
162.213.3.248_19.19.19.49.out.average,0.056536,very-weak
163.1.160.163_19.19.19.46.out.average,0.454111,moderate
163.178.174.25_19.19.19.6.out.average,-0.079302,very-weak
185.87.121.190_19.19.19.41.out.average,0.016613,very-weak
192.38.78.162_19.19.19.7.out.average,0.297554,weak
193.136.164.6_19.19.19.29.out.average,0.034339,very-weak
193.166.3.3_19.19.19.9.out.average,-0.064070,very-weak
193.6.176.62_19.19.19.16.out.average,-0.170032,very-weak
194.105.226.20_19.19.19.17.out.average,0.220064,weak
194.116.84.15_19.19.19.18.out.average,-0.125935,very-weak
194.2.0.36_19.19.19.10.out.average,-0.116905,very-weak
195.14.50.21_19.19.19.32.out.average,0.506869,moderate
198.145.20.143_19.19.19.22.out.average,-0.157403,very-weak
