117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.048089,very-weak
122.152.116.24_19.19.19.20.out.average,-0.006929,very-weak
130.133.3.130_19.19.19.12.out.average,-0.044819,very-weak
130.161.131.20_19.19.19.21.out.average,-0.008984,very-weak
130.206.1.5_19.19.19.35.out.average,-0.075193,very-weak
130.225.254.116_19.19.19.8.out.average,-0.073365,very-weak
130.236.254.50_19.19.19.37.out.average,-0.063231,very-weak
130.75.2.22_19.19.19.13.out.average,0.021585,very-weak
137.189.4.14_19.19.19.15.out.average,-0.033950,very-weak
140.128.9.18_19.19.19.38.out.average,0.042886,very-weak
141.217.0.199_19.19.19.47.out.average,0.002673,very-weak
147.102.222.211_19.19.19.14.out.average,-0.022011,very-weak
153.19.251.225_19.19.19.28.out.average,0.036446,very-weak
155.210.4.101_19.19.19.34.out.average,-0.154333,very-weak
162.213.3.248_19.19.19.49.out.average,0.020126,very-weak
163.1.160.163_19.19.19.46.out.average,-0.073842,very-weak
163.178.174.25_19.19.19.6.out.average,-0.045515,very-weak
185.87.121.190_19.19.19.41.out.average,-0.023872,very-weak
192.38.78.162_19.19.19.7.out.average,-0.115868,very-weak
193.136.164.6_19.19.19.29.out.average,-0.005213,very-weak
193.166.3.3_19.19.19.9.out.average,-0.025422,very-weak
193.6.176.62_19.19.19.16.out.average,-0.015583,very-weak
194.105.226.20_19.19.19.17.out.average,-0.013756,very-weak
194.116.84.15_19.19.19.18.out.average,-0.041624,very-weak
194.2.0.36_19.19.19.10.out.average,-0.086843,very-weak
195.14.50.21_19.19.19.32.out.average,-0.103311,very-weak
198.145.20.143_19.19.19.22.out.average,-0.055783,very-weak
202.28.209.254_19.19.19.40.out.average,0.084549,very-weak
202.38.97.230_19.19.19.4.out.average,0.051232,very-weak
202.8.44.105_19.19.19.23.out.average,-0.104409,very-weak
202.90.159.172_19.19.19.25.out.average,-0.018197,very-weak
203.0.178.32_19.19.19.1.out.average,0.130265,very-weak
203.178.132.80_19.19.19.19.out.average,-0.035484,very-weak
212.191.2.18_19.19.19.26.out.average,0.070943,very-weak
212.191.2.18_19.19.19.27.out.average,-0.025298,very-weak
212.47.239.32_19.19.19.11.out.average,-0.009605,very-weak
213.229.119.169_19.19.19.44.out.average,0.057083,very-weak
219.216.128.25_19.19.19.5.out.average,0.007090,very-weak
23.79.234.240_19.19.19.48.out.average,-0.007636,very-weak
31.193.177.85_19.19.19.2.out.average,0.055956,very-weak
5.101.158.166_19.19.19.31.out.average,0.001466,very-weak
58.28.25.150_19.19.19.24.out.average,0.101528,very-weak
62.44.96.38_19.19.19.3.out.average,0.155535,very-weak
78.154.171.62_19.19.19.43.out.average,0.048302,very-weak
78.96.7.8_19.19.19.30.out.average,0.016161,very-weak
95.173.191.11_19.19.19.42.out.average,-0.005468,very-weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.020876,very-weak
122.152.116.24_19.19.19.20.out.average,0.267257,weak
130.133.3.130_19.19.19.12.out.average,-0.050539,very-weak
130.161.131.20_19.19.19.21.out.average,-0.095052,very-weak
130.206.1.5_19.19.19.35.out.average,-0.038328,very-weak
130.225.254.116_19.19.19.8.out.average,0.091145,very-weak
130.236.254.50_19.19.19.37.out.average,0.004646,very-weak
130.75.2.22_19.19.19.13.out.average,-0.040450,very-weak
137.189.4.14_19.19.19.15.out.average,-0.014711,very-weak
140.128.9.18_19.19.19.38.out.average,-0.071049,very-weak
141.217.0.199_19.19.19.47.out.average,0.007493,very-weak
147.102.222.211_19.19.19.14.out.average,0.062276,very-weak
153.19.251.225_19.19.19.28.out.average,-0.006397,very-weak
155.210.4.101_19.19.19.34.out.average,-0.051081,very-weak
162.213.3.248_19.19.19.49.out.average,-0.061312,very-weak
163.1.160.163_19.19.19.46.out.average,-0.014791,very-weak
163.178.174.25_19.19.19.6.out.average,0.090765,very-weak
185.87.121.190_19.19.19.41.out.average,-0.057251,very-weak
192.38.78.162_19.19.19.7.out.average,-0.088319,very-weak
193.136.164.6_19.19.19.29.out.average,0.026362,very-weak
193.166.3.3_19.19.19.9.out.average,0.040286,very-weak
193.6.176.62_19.19.19.16.out.average,0.102902,very-weak
194.105.226.20_19.19.19.17.out.average,0.004986,very-weak
194.116.84.15_19.19.19.18.out.average,0.032154,very-weak
194.2.0.36_19.19.19.10.out.average,-0.009149,very-weak
195.14.50.21_19.19.19.32.out.average,-0.019522,very-weak
198.145.20.143_19.19.19.22.out.average,-0.037228,very-weak
202.28.209.254_19.19.19.40.out.average,-0.069544,very-weak
202.38.97.230_19.19.19.4.out.average,0.105420,very-weak
202.8.44.105_19.19.19.23.out.average,-0.089117,very-weak
202.90.159.172_19.19.19.25.out.average,0.028826,very-weak
203.0.178.32_19.19.19.1.out.average,0.037819,very-weak
203.178.132.80_19.19.19.19.out.average,0.091022,very-weak
212.191.2.18_19.19.19.26.out.average,-0.031129,very-weak
212.191.2.18_19.19.19.27.out.average,0.043650,very-weak
212.47.239.32_19.19.19.11.out.average,0.020298,very-weak
213.229.119.169_19.19.19.44.out.average,-0.060325,very-weak
219.216.128.25_19.19.19.5.out.average,-0.095475,very-weak
23.79.234.240_19.19.19.48.out.average,-0.109504,very-weak
31.193.177.85_19.19.19.2.out.average,0.025201,very-weak
5.101.158.166_19.19.19.31.out.average,0.086940,very-weak
58.28.25.150_19.19.19.24.out.average,-0.070272,very-weak
62.44.96.38_19.19.19.3.out.average,0.036093,very-weak
78.154.171.62_19.19.19.43.out.average,-0.001984,very-weak
78.96.7.8_19.19.19.30.out.average,0.029712,very-weak
95.173.191.11_19.19.19.42.out.average,-0.055237,very-weak
130.133.3.130_19.19.19.12.out.average, 
117.120.2.17_19.19.19.33.out.average,0.048281,very-weak
122.152.116.24_19.19.19.20.out.average,0.075111,very-weak
130.133.3.130_19.19.19.12.out.average,0.298326,weak
130.161.131.20_19.19.19.21.out.average,-0.070387,very-weak
130.206.1.5_19.19.19.35.out.average,-0.041830,very-weak
130.225.254.116_19.19.19.8.out.average,0.026033,very-weak
130.236.254.50_19.19.19.37.out.average,0.001606,very-weak
130.75.2.22_19.19.19.13.out.average,-0.085563,very-weak
137.189.4.14_19.19.19.15.out.average,0.073795,very-weak
140.128.9.18_19.19.19.38.out.average,0.014822,very-weak
141.217.0.199_19.19.19.47.out.average,0.041727,very-weak
147.102.222.211_19.19.19.14.out.average,0.073684,very-weak
153.19.251.225_19.19.19.28.out.average,0.018654,very-weak
155.210.4.101_19.19.19.34.out.average,-0.038177,very-weak
162.213.3.248_19.19.19.49.out.average,0.089930,very-weak
163.1.160.163_19.19.19.46.out.average,-0.025116,very-weak
163.178.174.25_19.19.19.6.out.average,0.028890,very-weak
185.87.121.190_19.19.19.41.out.average,-0.017480,very-weak
192.38.78.162_19.19.19.7.out.average,-0.045405,very-weak
193.136.164.6_19.19.19.29.out.average,-0.092676,very-weak
193.166.3.3_19.19.19.9.out.average,-0.092305,very-weak
193.6.176.62_19.19.19.16.out.average,0.038257,very-weak
194.105.226.20_19.19.19.17.out.average,-0.017830,very-weak
194.116.84.15_19.19.19.18.out.average,-0.071586,very-weak
194.2.0.36_19.19.19.10.out.average,0.023169,very-weak
195.14.50.21_19.19.19.32.out.average,-0.023466,very-weak
198.145.20.143_19.19.19.22.out.average,0.086649,very-weak
202.28.209.254_19.19.19.40.out.average,-0.118224,very-weak
202.38.97.230_19.19.19.4.out.average,0.007980,very-weak
202.8.44.105_19.19.19.23.out.average,-0.069714,very-weak
202.90.159.172_19.19.19.25.out.average,-0.038983,very-weak
203.0.178.32_19.19.19.1.out.average,-0.010119,very-weak
203.178.132.80_19.19.19.19.out.average,-0.012858,very-weak
212.191.2.18_19.19.19.26.out.average,-0.073646,very-weak
