117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.669075,strong
122.152.116.24_19.19.19.20.out.average,-0.681025,strong
130.133.3.130_19.19.19.12.out.average,-0.683490,strong
130.161.131.20_19.19.19.21.out.average,-0.671156,strong
130.206.1.5_19.19.19.35.out.average,-0.675276,strong
130.225.254.116_19.19.19.8.out.average,-0.682538,strong
130.236.254.50_19.19.19.37.out.average,-0.673456,strong
130.75.2.22_19.19.19.13.out.average,-0.681187,strong
137.189.4.14_19.19.19.15.out.average,-0.682895,strong
140.128.9.18_19.19.19.38.out.average,-0.669012,strong
141.217.0.199_19.19.19.47.out.average,-0.669969,strong
147.102.222.211_19.19.19.14.out.average,-0.681160,strong
153.19.251.225_19.19.19.28.out.average,-0.668168,strong
155.210.4.101_19.19.19.34.out.average,-0.676239,strong
162.213.3.248_19.19.19.49.out.average,-0.670288,strong
163.1.160.163_19.19.19.46.out.average,-0.673982,strong
163.178.174.25_19.19.19.6.out.average,-0.681588,strong
185.87.121.190_19.19.19.41.out.average,-0.671110,strong
192.38.78.162_19.19.19.7.out.average,-0.685544,strong
193.136.164.6_19.19.19.29.out.average,0.801038,very-strong
193.166.3.3_19.19.19.9.out.average,-0.682030,strong
193.6.176.62_19.19.19.16.out.average,-0.681677,strong
194.105.226.20_19.19.19.17.out.average,-0.681862,strong
194.116.84.15_19.19.19.18.out.average,-0.683235,strong
194.2.0.36_19.19.19.10.out.average,-0.683308,strong
195.14.50.21_19.19.19.32.out.average,-0.674949,strong
198.145.20.143_19.19.19.22.out.average,-0.673232,strong
202.28.209.254_19.19.19.40.out.average,-0.567890,moderate
202.38.97.230_19.19.19.4.out.average,-0.679306,strong
202.8.44.105_19.19.19.23.out.average,-0.675498,strong
202.90.159.172_19.19.19.25.out.average,-0.673572,strong
203.0.178.32_19.19.19.1.out.average,-0.676500,strong
203.178.132.80_19.19.19.19.out.average,-0.682806,strong
212.191.2.18_19.19.19.26.out.average,-0.668816,strong
212.191.2.18_19.19.19.27.out.average,-0.662568,strong
212.47.239.32_19.19.19.11.out.average,-0.681569,strong
213.229.119.169_19.19.19.44.out.average,-0.669192,strong
219.216.128.25_19.19.19.5.out.average,-0.680983,strong
23.79.234.240_19.19.19.48.out.average,-0.672988,strong
31.193.177.85_19.19.19.2.out.average,-0.679259,strong
5.101.158.166_19.19.19.31.out.average,-0.672218,strong
58.28.25.150_19.19.19.24.out.average,-0.666887,strong
62.44.96.38_19.19.19.3.out.average,-0.676900,strong
78.154.171.62_19.19.19.43.out.average,-0.667726,strong
78.96.7.8_19.19.19.30.out.average,-0.575631,moderate
95.173.191.11_19.19.19.42.out.average,-0.670925,strong
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,0.084261,very-weak
122.152.116.24_19.19.19.20.out.average,0.339498,weak
130.133.3.130_19.19.19.12.out.average,0.057102,very-weak
130.161.131.20_19.19.19.21.out.average,0.016911,very-weak
130.206.1.5_19.19.19.35.out.average,0.065865,very-weak
130.225.254.116_19.19.19.8.out.average,0.183415,very-weak
130.236.254.50_19.19.19.37.out.average,0.106306,very-weak
130.75.2.22_19.19.19.13.out.average,0.065578,very-weak
137.189.4.14_19.19.19.15.out.average,0.088924,very-weak
140.128.9.18_19.19.19.38.out.average,0.039031,very-weak
141.217.0.199_19.19.19.47.out.average,0.109181,very-weak
147.102.222.211_19.19.19.14.out.average,0.157796,very-weak
153.19.251.225_19.19.19.28.out.average,0.096609,very-weak
155.210.4.101_19.19.19.34.out.average,0.054679,very-weak
162.213.3.248_19.19.19.49.out.average,0.045755,very-weak
163.1.160.163_19.19.19.46.out.average,0.087793,very-weak
163.178.174.25_19.19.19.6.out.average,0.183071,very-weak
185.87.121.190_19.19.19.41.out.average,0.051413,very-weak
192.38.78.162_19.19.19.7.out.average,0.023475,very-weak
193.136.164.6_19.19.19.29.out.average,0.211354,weak
193.166.3.3_19.19.19.9.out.average,0.137664,very-weak
193.6.176.62_19.19.19.16.out.average,0.193681,weak
194.105.226.20_19.19.19.17.out.average,0.106451,very-weak
194.116.84.15_19.19.19.18.out.average,0.130217,very-weak
194.2.0.36_19.19.19.10.out.average,0.094273,very-weak
195.14.50.21_19.19.19.32.out.average,0.083520,very-weak
198.145.20.143_19.19.19.22.out.average,0.067496,very-weak
202.28.209.254_19.19.19.40.out.average,0.093884,very-weak
202.38.97.230_19.19.19.4.out.average,0.195601,weak
202.8.44.105_19.19.19.23.out.average,0.020725,very-weak
202.90.159.172_19.19.19.25.out.average,0.125701,very-weak
203.0.178.32_19.19.19.1.out.average,0.135729,very-weak
203.178.132.80_19.19.19.19.out.average,0.182951,very-weak
212.191.2.18_19.19.19.26.out.average,0.074322,very-weak
