117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.999986,very-strong
122.152.116.24_19.19.19.20.out.average,0.126894,very-weak
130.133.3.130_19.19.19.12.out.average,0.216195,weak
130.161.131.20_19.19.19.21.out.average,0.288491,weak
130.206.1.5_19.19.19.35.out.average,0.254154,weak
130.225.254.116_19.19.19.8.out.average,0.215564,weak
130.236.254.50_19.19.19.37.out.average,0.149211,very-weak
130.75.2.22_19.19.19.13.out.average,0.236962,weak
137.189.4.14_19.19.19.15.out.average,0.330844,weak
140.117.11.7_19.19.19.39.out.average,0.122715,very-weak
140.128.9.18_19.19.19.38.out.average,0.302688,weak
141.217.0.199_19.19.19.47.out.average,0.246926,weak
147.102.222.211_19.19.19.14.out.average,0.384781,weak
149.20.37.36_19.19.19.22.out.average,0.293721,weak
153.19.251.225_19.19.19.28.out.average,0.271057,weak
155.210.4.101_19.19.19.34.out.average,0.243173,weak
162.213.3.248_19.19.19.49.out.average,0.185421,very-weak
163.1.160.163_19.19.19.46.out.average,0.253318,weak
163.178.174.25_19.19.19.6.out.average,0.099616,very-weak
185.87.121.190_19.19.19.41.out.average,0.232842,weak
19.19.19.10_194.2.0.36.out.average,0.216431,weak
19.19.19.11_212.47.239.32.out.average,0.237695,weak
19.19.19.12_130.133.3.130.out.average,0.211865,weak
19.19.19.13_130.75.2.22.out.average,0.249197,weak
19.19.19.14_147.102.222.211.out.average,0.358170,weak
19.19.19.15_137.189.4.14.out.average,0.276225,weak
19.19.19.16_193.6.176.62.out.average,0.237685,weak
19.19.19.17_194.105.226.20.out.average,0.199317,weak
19.19.19.18_194.116.84.15.out.average,0.265671,weak
19.19.19.19_203.178.132.80.out.average,0.307818,weak
19.19.19.1_203.0.178.32.out.average,0.286603,weak
19.19.19.20_122.152.116.24.out.average,0.130878,very-weak
19.19.19.21_130.161.131.20.out.average,0.227239,weak
19.19.19.22_149.20.37.36.out.average,0.303155,weak
19.19.19.23_202.8.44.105.out.average,0.123575,very-weak
19.19.19.24_58.28.25.150.out.average,0.311489,weak
19.19.19.25_202.90.159.172.out.average,0.234891,weak
19.19.19.26_212.191.2.18.out.average,0.156590,very-weak
19.19.19.27_212.191.2.18.out.average,0.131256,very-weak
19.19.19.28_153.19.251.225.out.average,0.145934,very-weak
19.19.19.29_193.136.164.6.out.average,0.296105,weak
19.19.19.2_31.193.177.85.out.average,0.231373,weak
19.19.19.30_78.96.7.8.out.average,0.153603,very-weak
19.19.19.31_5.101.158.166.out.average,0.262348,weak
19.19.19.32_195.14.50.21.out.average,0.227745,weak
19.19.19.33_117.120.2.17.out.average,0.778978,strong
19.19.19.34_155.210.4.101.out.average,0.204244,weak
19.19.19.35_130.206.1.5.out.average,0.164006,very-weak
19.19.19.36_213.166.187.92.out.average,0.193970,weak
19.19.19.37_130.236.254.50.out.average,0.238547,weak
19.19.19.38_140.128.9.18.out.average,0.241893,weak
19.19.19.39_140.117.11.7.out.average,0.223844,weak
19.19.19.3_62.44.96.38.out.average,0.131876,very-weak
19.19.19.40_202.28.209.254.out.average,0.187835,very-weak
19.19.19.41_185.87.121.190.out.average,0.232710,weak
19.19.19.42_95.173.191.11.out.average,0.317112,weak
19.19.19.43_78.154.171.62.out.average,0.257642,weak
19.19.19.44_213.229.119.169.out.average,0.290638,weak
19.19.19.45_212.110.161.69.out.average,0.228712,weak
19.19.19.46_163.1.160.163.out.average,0.310611,weak
19.19.19.47_141.217.0.199.out.average,0.182275,very-weak
19.19.19.48_23.79.234.240.out.average,0.228660,weak
19.19.19.49_162.213.3.248.out.average,0.174133,very-weak
19.19.19.4_202.38.97.230.out.average,0.256792,weak
19.19.19.5_219.216.128.25.out.average,0.179238,very-weak
19.19.19.6_163.178.174.25.out.average,0.102775,very-weak
19.19.19.7_192.38.78.162.out.average,0.181900,very-weak
19.19.19.8_130.225.254.116.out.average,0.129453,very-weak
19.19.19.9_193.166.3.3.out.average,0.201449,weak
192.38.78.162_19.19.19.7.out.average,0.184682,very-weak
193.136.164.6_19.19.19.29.out.average,0.299693,weak
193.166.3.3_19.19.19.9.out.average,0.220177,weak
193.6.176.62_19.19.19.16.out.average,0.199762,weak
194.105.226.20_19.19.19.17.out.average,0.184585,very-weak
194.116.84.15_19.19.19.18.out.average,0.280685,weak
194.2.0.36_19.19.19.10.out.average,0.151440,very-weak
195.14.50.21_19.19.19.32.out.average,0.218942,weak
202.28.209.254_19.19.19.40.out.average,0.240997,weak
202.38.97.230_19.19.19.4.out.average,0.214971,weak
202.8.44.105_19.19.19.23.out.average,0.109359,very-weak
202.90.159.172_19.19.19.25.out.average,0.252260,weak
203.0.178.32_19.19.19.1.out.average,0.211365,weak
203.178.132.80_19.19.19.19.out.average,0.327373,weak
212.110.161.69_19.19.19.45.out.average,0.240851,weak
212.191.2.18_19.19.19.26.out.average,0.210885,weak
212.191.2.18_19.19.19.27.out.average,0.170165,very-weak
212.47.239.32_19.19.19.11.out.average,0.219338,weak
213.166.187.92_19.19.19.36.out.average,0.218820,weak
213.229.119.169_19.19.19.44.out.average,0.274943,weak
219.216.128.25_19.19.19.5.out.average,0.164839,very-weak
23.79.234.240_19.19.19.48.out.average,0.211891,weak
31.193.177.85_19.19.19.2.out.average,0.219882,weak
5.101.158.166_19.19.19.31.out.average,0.290253,weak
58.28.25.150_19.19.19.24.out.average,0.319032,weak
62.44.96.38_19.19.19.3.out.average,0.098896,very-weak
78.154.171.62_19.19.19.43.out.average,0.188019,very-weak
78.96.7.8_19.19.19.30.out.average,0.175837,very-weak
95.173.191.11_19.19.19.42.out.average,0.349415,weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,0.126567,very-weak
122.152.116.24_19.19.19.20.out.average,1.000000,very-strong
130.133.3.130_19.19.19.12.out.average,0.087970,very-weak
130.161.131.20_19.19.19.21.out.average,0.139147,very-weak
130.206.1.5_19.19.19.35.out.average,0.161998,very-weak
130.225.254.116_19.19.19.8.out.average,0.106856,very-weak
130.236.254.50_19.19.19.37.out.average,0.201821,weak
130.75.2.22_19.19.19.13.out.average,0.122504,very-weak
137.189.4.14_19.19.19.15.out.average,0.100312,very-weak
140.117.11.7_19.19.19.39.out.average,0.066542,very-weak
140.128.9.18_19.19.19.38.out.average,0.126751,very-weak
141.217.0.199_19.19.19.47.out.average,0.185971,very-weak
