117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.994670,very-strong
122.152.116.24_19.19.19.20.out.average,-0.034656,very-weak
130.133.3.130_19.19.19.12.out.average,0.157942,very-weak
130.161.131.20_19.19.19.21.out.average,0.145156,very-weak
130.206.1.5_19.19.19.35.out.average,0.280964,weak
130.225.254.116_19.19.19.8.out.average,0.086717,very-weak
130.236.254.50_19.19.19.37.out.average,0.356005,weak
130.75.2.22_19.19.19.13.out.average,-0.026206,very-weak
137.189.4.14_19.19.19.15.out.average,-0.185354,very-weak
140.117.11.7_19.19.19.39.out.average,0.052925,very-weak
140.128.9.18_19.19.19.38.out.average,0.464252,moderate
141.217.0.199_19.19.19.47.out.average,0.417951,moderate
147.102.222.211_19.19.19.14.out.average,0.289114,weak
149.20.37.36_19.19.19.22.out.average,0.154364,very-weak
153.19.251.225_19.19.19.28.out.average,0.244937,weak
155.210.4.101_19.19.19.34.out.average,0.001973,very-weak
162.213.3.248_19.19.19.49.out.average,0.357359,weak
163.1.160.163_19.19.19.46.out.average,0.422079,moderate
163.178.174.25_19.19.19.6.out.average,0.078058,very-weak
185.87.121.190_19.19.19.41.out.average,0.320688,weak
192.38.78.162_19.19.19.7.out.average,-0.124867,very-weak
193.136.164.6_19.19.19.29.out.average,-0.003354,very-weak
193.166.3.3_19.19.19.9.out.average,0.117574,very-weak
193.6.176.62_19.19.19.16.out.average,-0.059295,very-weak
194.105.226.20_19.19.19.17.out.average,-0.074441,very-weak
194.116.84.15_19.19.19.18.out.average,0.051403,very-weak
194.2.0.36_19.19.19.10.out.average,-0.105945,very-weak
195.14.50.21_19.19.19.32.out.average,-0.119672,very-weak
202.28.209.254_19.19.19.40.out.average,0.463985,moderate
202.38.97.230_19.19.19.4.out.average,0.253977,weak
202.8.44.105_19.19.19.23.out.average,0.423214,moderate
202.90.159.172_19.19.19.25.out.average,-0.006641,very-weak
203.0.178.32_19.19.19.1.out.average,0.198340,weak
203.178.132.80_19.19.19.19.out.average,-0.025502,very-weak
212.110.161.69_19.19.19.45.out.average,0.341811,weak
212.191.2.18_19.19.19.26.out.average,0.206311,weak
212.191.2.18_19.19.19.27.out.average,0.021977,very-weak
212.47.239.32_19.19.19.11.out.average,0.019440,very-weak
213.166.187.92_19.19.19.36.out.average,-0.007927,very-weak
213.229.119.169_19.19.19.44.out.average,0.017908,very-weak
219.216.128.25_19.19.19.5.out.average,0.000624,very-weak
23.79.234.240_19.19.19.48.out.average,0.417044,moderate
31.193.177.85_19.19.19.2.out.average,0.266107,weak
5.101.158.166_19.19.19.31.out.average,0.228137,weak
58.28.25.150_19.19.19.24.out.average,0.464103,moderate
62.44.96.38_19.19.19.3.out.average,-0.057047,very-weak
