117.120.2.17_19.19.19.33.out.average, 
141.217.0.199_19.19.19.47.out.average,0.206226,weak
147.102.222.211_19.19.19.14.out.average,0.173672,very-weak
149.20.37.36_19.19.19.22.out.average,0.224146,weak
153.19.251.225_19.19.19.28.out.average,0.137632,very-weak
155.210.4.101_19.19.19.34.out.average,0.274706,weak
162.213.3.248_19.19.19.49.out.average,0.208933,weak
163.1.221.67_19.19.19.46.out.average,0.128626,very-weak
163.178.174.25_19.19.19.6.out.average,0.225353,weak
185.87.121.190_19.19.19.41.out.average,0.186323,very-weak
192.38.78.162_19.19.19.7.out.average,0.099442,very-weak
193.136.164.6_19.19.19.29.out.average,0.193829,weak
193.166.3.3_19.19.19.9.out.average,0.248089,weak
193.6.176.62_19.19.19.16.out.average,0.145685,very-weak
194.105.226.20_19.19.19.17.out.average,0.155361,very-weak
194.116.84.15_19.19.19.18.out.average,0.319937,weak
194.2.0.36_19.19.19.10.out.average,0.111854,very-weak
195.14.50.21_19.19.19.32.out.average,0.162390,very-weak
202.28.209.254_19.19.19.40.out.average,0.191755,weak
202.38.97.230_19.19.19.4.out.average,0.218750,weak
202.8.44.105_19.19.19.23.out.average,0.159473,very-weak
202.90.159.172_19.19.19.25.out.average,0.162273,very-weak
203.0.178.32_19.19.19.1.out.average,0.151176,very-weak
203.178.132.80_19.19.19.19.out.average,0.232735,weak
212.110.161.69_19.19.19.45.out.average,0.209853,weak
212.191.2.18_19.19.19.26.out.average,0.139176,very-weak
212.191.2.18_19.19.19.27.out.average,0.255067,weak
212.47.239.32_19.19.19.11.out.average,0.111691,very-weak
213.166.187.92_19.19.19.36.out.average,0.281516,weak
213.229.119.169_19.19.19.44.out.average,0.048632,very-weak
219.216.128.25_19.19.19.5.out.average,0.138248,very-weak
23.79.234.240_19.19.19.48.out.average,0.186070,very-weak
31.193.177.85_19.19.19.2.out.average,0.192303,weak
5.101.158.166_19.19.19.31.out.average,0.170480,very-weak
58.28.25.150_19.19.19.24.out.average,0.245756,weak
62.44.96.38_19.19.19.3.out.average,0.134896,very-weak
78.154.171.62_19.19.19.43.out.average,0.081116,very-weak
78.96.7.8_19.19.19.30.out.average,0.196046,weak
95.173.191.11_19.19.19.42.out.average,0.131127,very-weak
130.161.131.20_19.19.19.21.out.average, 
117.120.2.17_19.19.19.33.out.average,0.252103,weak
122.152.116.24_19.19.19.20.out.average,0.212706,weak
130.133.3.130_19.19.19.12.out.average,0.205929,weak
130.161.131.20_19.19.19.21.out.average,1.000000,very-strong
130.206.1.5_19.19.19.35.out.average,0.179983,very-weak
130.225.254.116_19.19.19.8.out.average,0.222653,weak
130.236.254.50_19.19.19.37.out.average,0.321689,weak
130.75.2.22_19.19.19.13.out.average,0.076054,very-weak
137.189.4.14_19.19.19.15.out.average,0.165320,very-weak
140.117.11.7_19.19.19.39.out.average,0.261231,weak
140.128.9.18_19.19.19.38.out.average,0.176580,very-weak
141.217.0.199_19.19.19.47.out.average,0.126606,very-weak
147.102.222.211_19.19.19.14.out.average,0.325541,weak
149.20.37.36_19.19.19.22.out.average,0.194540,weak
153.19.251.225_19.19.19.28.out.average,0.254059,weak
155.210.4.101_19.19.19.34.out.average,0.258054,weak
162.213.3.248_19.19.19.49.out.average,0.239758,weak
163.1.221.67_19.19.19.46.out.average,0.262568,weak
163.178.174.25_19.19.19.6.out.average,0.075685,very-weak
185.87.121.190_19.19.19.41.out.average,0.334737,weak
192.38.78.162_19.19.19.7.out.average,0.083681,very-weak
193.136.164.6_19.19.19.29.out.average,0.273695,weak
193.166.3.3_19.19.19.9.out.average,0.204550,weak
193.6.176.62_19.19.19.16.out.average,0.309474,weak
194.105.226.20_19.19.19.17.out.average,0.240567,weak
194.116.84.15_19.19.19.18.out.average,0.279370,weak
194.2.0.36_19.19.19.10.out.average,0.260259,weak
195.14.50.21_19.19.19.32.out.average,0.255263,weak
202.28.209.254_19.19.19.40.out.average,0.238142,weak
202.38.97.230_19.19.19.4.out.average,0.284519,weak
202.8.44.105_19.19.19.23.out.average,0.108665,very-weak
202.90.159.172_19.19.19.25.out.average,0.191640,weak
203.0.178.32_19.19.19.1.out.average,0.161328,very-weak
203.178.132.80_19.19.19.19.out.average,0.337124,weak
212.110.161.69_19.19.19.45.out.average,0.282020,weak
212.191.2.18_19.19.19.26.out.average,0.292779,weak
212.191.2.18_19.19.19.27.out.average,0.247482,weak
212.47.239.32_19.19.19.11.out.average,0.223600,weak
213.166.187.92_19.19.19.36.out.average,0.265135,weak
213.229.119.169_19.19.19.44.out.average,0.223270,weak
219.216.128.25_19.19.19.5.out.average,0.036586,very-weak
23.79.234.240_19.19.19.48.out.average,0.193659,weak
31.193.177.85_19.19.19.2.out.average,0.141943,very-weak
5.101.158.166_19.19.19.31.out.average,0.158904,very-weak
58.28.25.150_19.19.19.24.out.average,0.358893,weak
62.44.96.38_19.19.19.3.out.average,0.135594,very-weak
78.154.171.62_19.19.19.43.out.average,0.185105,very-weak
78.96.7.8_19.19.19.30.out.average,0.236677,weak
95.173.191.11_19.19.19.42.out.average,0.247094,weak
130.206.1.5_19.19.19.35.out.average, 
117.120.2.17_19.19.19.33.out.average,0.253247,weak
122.152.116.24_19.19.19.20.out.average,0.175662,very-weak
130.133.3.130_19.19.19.12.out.average,0.180926,very-weak
130.161.131.20_19.19.19.21.out.average,0.179983,very-weak
130.206.1.5_19.19.19.35.out.average,1.000000,very-strong
130.225.254.116_19.19.19.8.out.average,0.229333,weak
130.236.254.50_19.19.19.37.out.average,0.215335,weak
130.75.2.22_19.19.19.13.out.average,0.083497,very-weak
137.189.4.14_19.19.19.15.out.average,0.136894,very-weak
140.117.11.7_19.19.19.39.out.average,0.176770,very-weak
140.128.9.18_19.19.19.38.out.average,0.173139,very-weak
141.217.0.199_19.19.19.47.out.average,0.165690,very-weak
147.102.222.211_19.19.19.14.out.average,0.119062,very-weak
149.20.37.36_19.19.19.22.out.average,0.156470,very-weak
153.19.251.225_19.19.19.28.out.average,0.220439,weak
155.210.4.101_19.19.19.34.out.average,0.238327,weak
162.213.3.248_19.19.19.49.out.average,0.145186,very-weak
163.1.221.67_19.19.19.46.out.average,0.298913,weak
163.178.174.25_19.19.19.6.out.average,0.095989,very-weak
185.87.121.190_19.19.19.41.out.average,0.175698,very-weak
192.38.78.162_19.19.19.7.out.average,0.171526,very-weak
193.136.164.6_19.19.19.29.out.average,0.144888,very-weak
193.166.3.3_19.19.19.9.out.average,0.192788,weak
193.6.176.62_19.19.19.16.out.average,0.269110,weak
194.105.226.20_19.19.19.17.out.average,0.207829,weak
194.116.84.15_19.19.19.18.out.average,0.227352,weak
194.2.0.36_19.19.19.10.out.average,0.184494,very-weak
195.14.50.21_19.19.19.32.out.average,0.183767,very-weak
202.28.209.254_19.19.19.40.out.average,0.200718,weak
202.38.97.230_19.19.19.4.out.average,0.143472,very-weak
202.8.44.105_19.19.19.23.out.average,0.205253,weak
202.90.159.172_19.19.19.25.out.average,0.182935,very-weak
203.0.178.32_19.19.19.1.out.average,0.167535,very-weak
203.178.132.80_19.19.19.19.out.average,0.212900,weak
212.110.161.69_19.19.19.45.out.average,0.176746,very-weak
212.191.2.18_19.19.19.26.out.average,0.242831,weak
212.191.2.18_19.19.19.27.out.average,0.157275,very-weak
212.47.239.32_19.19.19.11.out.average,0.116741,very-weak
213.166.187.92_19.19.19.36.out.average,0.223308,weak
213.229.119.169_19.19.19.44.out.average,0.041828,very-weak
219.216.128.25_19.19.19.5.out.average,0.141121,very-weak
23.79.234.240_19.19.19.48.out.average,0.133727,very-weak
31.193.177.85_19.19.19.2.out.average,0.122033,very-weak
5.101.158.166_19.19.19.31.out.average,0.155376,very-weak
58.28.25.150_19.19.19.24.out.average,0.178123,very-weak
62.44.96.38_19.19.19.3.out.average,0.108015,very-weak
78.154.171.62_19.19.19.43.out.average,0.091049,very-weak
78.96.7.8_19.19.19.30.out.average,0.275861,weak
95.173.191.11_19.19.19.42.out.average,0.251708,weak
130.225.254.116_19.19.19.8.out.average, 
117.120.2.17_19.19.19.33.out.average,0.251600,weak
122.152.116.24_19.19.19.20.out.average,0.247225,weak
130.133.3.130_19.19.19.12.out.average,0.268901,weak
130.161.131.20_19.19.19.21.out.average,0.222653,weak
130.206.1.5_19.19.19.35.out.average,0.229333,weak
130.225.254.116_19.19.19.8.out.average,1.000000,very-strong
130.236.254.50_19.19.19.37.out.average,0.268771,weak
130.75.2.22_19.19.19.13.out.average,0.201639,weak
137.189.4.14_19.19.19.15.out.average,0.201666,weak
140.117.11.7_19.19.19.39.out.average,0.195977,weak
140.128.9.18_19.19.19.38.out.average,0.195926,weak
141.217.0.199_19.19.19.47.out.average,0.268202,weak
147.102.222.211_19.19.19.14.out.average,0.283913,weak
149.20.37.36_19.19.19.22.out.average,0.275632,weak
153.19.251.225_19.19.19.28.out.average,0.251573,weak
155.210.4.101_19.19.19.34.out.average,0.280825,weak
162.213.3.248_19.19.19.49.out.average,0.253101,weak
163.1.221.67_19.19.19.46.out.average,0.267129,weak
163.178.174.25_19.19.19.6.out.average,0.190798,weak
185.87.121.190_19.19.19.41.out.average,0.186988,very-weak
192.38.78.162_19.19.19.7.out.average,0.102981,very-weak
193.136.164.6_19.19.19.29.out.average,0.289044,weak
193.166.3.3_19.19.19.9.out.average,0.225622,weak
193.6.176.62_19.19.19.16.out.average,0.251589,weak
194.105.226.20_19.19.19.17.out.average,0.295718,weak
194.116.84.15_19.19.19.18.out.average,0.293305,weak
194.2.0.36_19.19.19.10.out.average,0.292868,weak
195.14.50.21_19.19.19.32.out.average,0.358796,weak
202.28.209.254_19.19.19.40.out.average,0.219662,weak
202.38.97.230_19.19.19.4.out.average,0.208355,weak
202.8.44.105_19.19.19.23.out.average,0.144108,very-weak
202.90.159.172_19.19.19.25.out.average,0.180719,very-weak
203.0.178.32_19.19.19.1.out.average,0.235134,weak
203.178.132.80_19.19.19.19.out.average,0.308756,weak
212.110.161.69_19.19.19.45.out.average,0.274074,weak
212.191.2.18_19.19.19.26.out.average,0.311820,weak
212.191.2.18_19.19.19.27.out.average,0.331269,weak
212.47.239.32_19.19.19.11.out.average,0.151017,very-weak
213.166.187.92_19.19.19.36.out.average,0.240241,weak
213.229.119.169_19.19.19.44.out.average,0.189761,very-weak
219.216.128.25_19.19.19.5.out.average,0.207647,weak
23.79.234.240_19.19.19.48.out.average,0.259069,weak
31.193.177.85_19.19.19.2.out.average,0.285365,weak
5.101.158.166_19.19.19.31.out.average,0.219177,weak
58.28.25.150_19.19.19.24.out.average,0.312096,weak
62.44.96.38_19.19.19.3.out.average,0.193874,weak
78.154.171.62_19.19.19.43.out.average,0.169769,very-weak
78.96.7.8_19.19.19.30.out.average,0.205635,weak
95.173.191.11_19.19.19.42.out.average,0.211346,weak
130.236.254.50_19.19.19.37.out.average, 
117.120.2.17_19.19.19.33.out.average,0.390963,moderate
122.152.116.24_19.19.19.20.out.average,0.299351,weak
130.133.3.130_19.19.19.12.out.average,0.153936,very-weak
130.161.131.20_19.19.19.21.out.average,0.321599,weak
130.206.1.5_19.19.19.35.out.average,0.215252,weak
130.225.254.116_19.19.19.8.out.average,0.268844,weak
130.236.254.50_19.19.19.37.out.average,1.000000,very-strong
130.75.2.22_19.19.19.13.out.average,0.266221,weak
137.189.4.14_19.19.19.15.out.average,0.142609,very-weak
140.117.11.7_19.19.19.39.out.average,0.306184,weak
140.128.9.18_19.19.19.38.out.average,0.236078,weak
141.217.0.199_19.19.19.47.out.average,0.234357,weak
147.102.222.211_19.19.19.14.out.average,0.327503,weak
