117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.988590,very-strong
122.152.116.24_19.19.19.20.out.average,0.022019,very-weak
130.133.3.130_19.19.19.12.out.average,-0.032726,very-weak
130.161.131.20_19.19.19.21.out.average,-0.046101,very-weak
130.206.1.5_19.19.19.35.out.average,-0.045386,very-weak
130.225.254.116_19.19.19.8.out.average,-0.059474,very-weak
130.236.254.50_19.19.19.37.out.average,0.305100,weak
130.75.2.22_19.19.19.13.out.average,-0.053803,very-weak
137.189.4.14_19.19.19.15.out.average,-0.082199,very-weak
140.117.11.7_19.19.19.39.out.average,0.477051,moderate
140.128.9.18_19.19.19.38.out.average,0.596034,strong
141.217.0.199_19.19.19.47.out.average,0.226801,weak
147.102.222.211_19.19.19.14.out.average,0.349085,weak
149.20.37.36_19.19.19.22.out.average,0.448581,moderate
153.19.251.225_19.19.19.28.out.average,-0.111043,very-weak
155.210.4.101_19.19.19.34.out.average,-0.013388,very-weak
162.213.3.248_19.19.19.49.out.average,0.103164,very-weak
163.1.160.163_19.19.19.46.out.average,-0.049682,very-weak
163.178.174.25_19.19.19.6.out.average,-0.061157,very-weak
185.87.121.190_19.19.19.41.out.average,0.254512,weak
192.38.78.162_19.19.19.7.out.average,-0.138828,very-weak
193.136.164.6_19.19.19.29.out.average,0.385415,weak
193.166.3.3_19.19.19.9.out.average,-0.025628,very-weak
193.6.176.62_19.19.19.16.out.average,-0.094503,very-weak
194.105.226.20_19.19.19.17.out.average,0.346603,weak
194.116.84.15_19.19.19.18.out.average,0.066180,very-weak
194.2.0.36_19.19.19.10.out.average,-0.035458,very-weak
195.14.50.21_19.19.19.32.out.average,0.419515,moderate
202.28.209.254_19.19.19.40.out.average,0.551988,moderate
202.38.97.230_19.19.19.4.out.average,-0.012899,very-weak
202.8.44.105_19.19.19.23.out.average,0.358922,weak
202.90.159.172_19.19.19.25.out.average,0.167528,very-weak
203.0.178.32_19.19.19.1.out.average,0.040835,very-weak
203.178.132.80_19.19.19.19.out.average,-0.065347,very-weak
212.110.161.69_19.19.19.45.out.average,0.047295,very-weak
212.191.2.18_19.19.19.26.out.average,-0.037321,very-weak
212.191.2.18_19.19.19.27.out.average,-0.063260,very-weak
212.47.239.32_19.19.19.11.out.average,-0.002325,very-weak
213.166.187.92_19.19.19.36.out.average,-0.008156,very-weak
213.229.119.169_19.19.19.44.out.average,-0.121642,very-weak
219.216.128.25_19.19.19.5.out.average,-0.070154,very-weak
23.79.234.240_19.19.19.48.out.average,0.111772,very-weak
31.193.177.85_19.19.19.2.out.average,0.001700,very-weak
5.101.158.166_19.19.19.31.out.average,0.248048,weak
58.28.25.150_19.19.19.24.out.average,0.029313,very-weak
62.44.96.38_19.19.19.3.out.average,0.141164,very-weak
78.154.171.62_19.19.19.43.out.average,0.009780,very-weak
78.96.7.8_19.19.19.30.out.average,0.119491,very-weak
95.173.191.11_19.19.19.42.out.average,0.428713,moderate
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,0.046175,very-weak
122.152.116.24_19.19.19.20.out.average,0.983818,very-strong
130.133.3.130_19.19.19.12.out.average,0.030839,very-weak
130.161.131.20_19.19.19.21.out.average,0.502606,moderate
130.206.1.5_19.19.19.35.out.average,-0.135315,very-weak
130.225.254.116_19.19.19.8.out.average,-0.003293,very-weak
130.236.254.50_19.19.19.37.out.average,0.041534,very-weak
130.75.2.22_19.19.19.13.out.average,-0.136198,very-weak
137.189.4.14_19.19.19.15.out.average,0.386722,weak
140.117.11.7_19.19.19.39.out.average,0.063640,very-weak
140.128.9.18_19.19.19.38.out.average,0.040325,very-weak
141.217.0.199_19.19.19.47.out.average,0.011862,very-weak
147.102.222.211_19.19.19.14.out.average,0.067576,very-weak
149.20.37.36_19.19.19.22.out.average,0.114441,very-weak
153.19.251.225_19.19.19.28.out.average,-0.027058,very-weak
155.210.4.101_19.19.19.34.out.average,0.032792,very-weak
162.213.3.248_19.19.19.49.out.average,0.423745,moderate
163.1.160.163_19.19.19.46.out.average,-0.037529,very-weak
163.178.174.25_19.19.19.6.out.average,0.258580,weak
185.87.121.190_19.19.19.41.out.average,0.153485,very-weak
192.38.78.162_19.19.19.7.out.average,0.192792,weak
193.136.164.6_19.19.19.29.out.average,0.063790,very-weak
193.166.3.3_19.19.19.9.out.average,-0.086123,very-weak
193.6.176.62_19.19.19.16.out.average,0.554086,moderate
194.105.226.20_19.19.19.17.out.average,0.150249,very-weak
194.116.84.15_19.19.19.18.out.average,0.182969,very-weak
194.2.0.36_19.19.19.10.out.average,0.342298,weak
195.14.50.21_19.19.19.32.out.average,0.128869,very-weak
202.28.209.254_19.19.19.40.out.average,0.042151,very-weak
202.38.97.230_19.19.19.4.out.average,-0.112631,very-weak
202.8.44.105_19.19.19.23.out.average,0.113492,very-weak
202.90.159.172_19.19.19.25.out.average,0.350586,weak
