117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.196275,weak
122.152.116.24_19.19.19.20.out.average,0.003729,very-weak
130.133.3.130_19.19.19.12.out.average,0.004095,very-weak
130.161.131.20_19.19.19.21.out.average,0.078164,very-weak
130.206.1.5_19.19.19.35.out.average,0.166893,very-weak
130.225.254.116_19.19.19.8.out.average,-0.011911,very-weak
130.236.254.50_19.19.19.37.out.average,0.047629,very-weak
130.75.2.22_19.19.19.13.out.average,0.068638,very-weak
137.189.4.14_19.19.19.15.out.average,-0.033616,very-weak
140.117.11.7_19.19.19.39.out.average,-0.045622,very-weak
140.128.9.18_19.19.19.38.out.average,0.065789,very-weak
141.217.0.199_19.19.19.47.out.average,-0.149726,very-weak
147.102.222.211_19.19.19.14.out.average,-0.045399,very-weak
149.20.37.36_19.19.19.22.out.average,0.005449,very-weak
153.19.251.225_19.19.19.28.out.average,-0.079131,very-weak
155.210.4.101_19.19.19.34.out.average,-0.039452,very-weak
162.213.3.248_19.19.19.49.out.average,0.055839,very-weak
163.1.160.163_19.19.19.46.out.average,-0.066384,very-weak
163.178.174.25_19.19.19.6.out.average,0.131149,very-weak
185.87.121.190_19.19.19.41.out.average,-0.010798,very-weak
192.38.78.162_19.19.19.7.out.average,-0.037326,very-weak
193.136.164.6_19.19.19.29.out.average,0.097846,very-weak
193.166.3.3_19.19.19.9.out.average,0.032633,very-weak
193.6.176.62_19.19.19.16.out.average,0.020869,very-weak
194.105.226.20_19.19.19.17.out.average,0.015737,very-weak
194.116.84.15_19.19.19.18.out.average,0.112160,very-weak
194.2.0.36_19.19.19.10.out.average,0.141583,very-weak
195.14.50.21_19.19.19.32.out.average,-0.030327,very-weak
202.28.209.254_19.19.19.40.out.average,0.065573,very-weak
202.38.97.230_19.19.19.4.out.average,0.037733,very-weak
202.8.44.105_19.19.19.23.out.average,-0.007179,very-weak
202.90.159.172_19.19.19.25.out.average,0.035737,very-weak
203.0.178.32_19.19.19.1.out.average,0.129276,very-weak
203.178.132.80_19.19.19.19.out.average,-0.032362,very-weak
212.110.161.69_19.19.19.45.out.average,0.116439,very-weak
212.191.2.18_19.19.19.26.out.average,-0.093147,very-weak
212.191.2.18_19.19.19.27.out.average,-0.085233,very-weak
212.47.239.32_19.19.19.11.out.average,0.134169,very-weak
213.166.187.92_19.19.19.36.out.average,0.051181,very-weak
213.229.119.169_19.19.19.44.out.average,0.052661,very-weak
219.216.128.25_19.19.19.5.out.average,0.045050,very-weak
23.79.234.240_19.19.19.48.out.average,0.017160,very-weak
31.193.177.85_19.19.19.2.out.average,0.123702,very-weak
5.101.158.166_19.19.19.31.out.average,0.032242,very-weak
58.28.25.150_19.19.19.24.out.average,-0.084663,very-weak
62.44.96.38_19.19.19.3.out.average,0.037565,very-weak
78.154.171.62_19.19.19.43.out.average,-0.001459,very-weak
78.96.7.8_19.19.19.30.out.average,0.029429,very-weak
95.173.191.11_19.19.19.42.out.average,-0.009426,very-weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,0.095407,very-weak
122.152.116.24_19.19.19.20.out.average,0.155090,very-weak
130.133.3.130_19.19.19.12.out.average,0.052666,very-weak
130.161.131.20_19.19.19.21.out.average,0.051015,very-weak
130.206.1.5_19.19.19.35.out.average,0.058488,very-weak
130.225.254.116_19.19.19.8.out.average,0.004246,very-weak
130.236.254.50_19.19.19.37.out.average,0.084496,very-weak
130.75.2.22_19.19.19.13.out.average,0.092547,very-weak
137.189.4.14_19.19.19.15.out.average,0.121054,very-weak
140.117.11.7_19.19.19.39.out.average,0.120051,very-weak
140.128.9.18_19.19.19.38.out.average,-0.010201,very-weak
141.217.0.199_19.19.19.47.out.average,0.105088,very-weak
147.102.222.211_19.19.19.14.out.average,0.049538,very-weak
149.20.37.36_19.19.19.22.out.average,0.032101,very-weak
153.19.251.225_19.19.19.28.out.average,0.060801,very-weak
155.210.4.101_19.19.19.34.out.average,0.167806,very-weak
162.213.3.248_19.19.19.49.out.average,0.048298,very-weak
163.1.160.163_19.19.19.46.out.average,-0.004892,very-weak
163.178.174.25_19.19.19.6.out.average,0.133487,very-weak
185.87.121.190_19.19.19.41.out.average,-0.002446,very-weak
192.38.78.162_19.19.19.7.out.average,0.079614,very-weak
193.136.164.6_19.19.19.29.out.average,0.014861,very-weak
193.166.3.3_19.19.19.9.out.average,0.023403,very-weak
193.6.176.62_19.19.19.16.out.average,0.034889,very-weak
194.105.226.20_19.19.19.17.out.average,0.129536,very-weak
194.116.84.15_19.19.19.18.out.average,-0.017772,very-weak
194.2.0.36_19.19.19.10.out.average,0.051569,very-weak
195.14.50.21_19.19.19.32.out.average,0.042365,very-weak
202.28.209.254_19.19.19.40.out.average,0.103132,very-weak
202.38.97.230_19.19.19.4.out.average,-0.091403,very-weak
202.8.44.105_19.19.19.23.out.average,0.005377,very-weak
202.90.159.172_19.19.19.25.out.average,-0.014489,very-weak
203.0.178.32_19.19.19.1.out.average,0.066035,very-weak
203.178.132.80_19.19.19.19.out.average,0.035174,very-weak
212.110.161.69_19.19.19.45.out.average,-0.086122,very-weak
212.191.2.18_19.19.19.26.out.average,0.008858,very-weak
212.191.2.18_19.19.19.27.out.average,-0.036406,very-weak
212.47.239.32_19.19.19.11.out.average,0.079707,very-weak
213.166.187.92_19.19.19.36.out.average,-0.028729,very-weak
213.229.119.169_19.19.19.44.out.average,-0.009625,very-weak
219.216.128.25_19.19.19.5.out.average,0.019660,very-weak
23.79.234.240_19.19.19.48.out.average,0.039409,very-weak
31.193.177.85_19.19.19.2.out.average,-0.014055,very-weak
5.101.158.166_19.19.19.31.out.average,0.081218,very-weak
58.28.25.150_19.19.19.24.out.average,0.045973,very-weak
