117.120.2.17_19.19.19.1.out.average, 
117.120.2.17_19.19.19.33.out.average,0.263532,weak
122.152.116.24_19.19.19.20.out.average,0.277406,weak
130.133.3.130_19.19.19.12.out.average,0.094395,very-weak
130.161.131.20_19.19.19.21.out.average,0.217535,weak
130.206.1.5_19.19.19.35.out.average,0.218971,weak
130.225.254.116_19.19.19.8.out.average,0.167179,very-weak
130.236.254.50_19.19.19.37.out.average,0.217040,weak
130.75.2.22_19.19.19.13.out.average,0.151362,very-weak
137.189.4.14_19.19.19.15.out.average,0.216539,weak
140.117.11.7_19.19.19.39.out.average,0.182632,very-weak
140.128.9.18_19.19.19.38.out.average,0.134034,very-weak
141.217.0.199_19.19.19.47.out.average,0.242133,weak
147.102.222.211_19.19.19.14.out.average,0.202747,weak
153.19.251.225_19.19.19.28.out.average,0.240890,weak
155.210.4.101_19.19.19.34.out.average,0.316104,weak
162.213.3.248_19.19.19.49.out.average,0.192621,weak
163.1.221.67_19.19.19.46.out.average,0.117279,very-weak
163.178.174.25_19.19.19.6.out.average,0.185103,very-weak
185.87.121.190_19.19.19.41.out.average,0.254596,weak
192.38.78.162_19.19.19.7.out.average,0.183733,very-weak
193.136.164.6_19.19.19.29.out.average,0.221026,weak
193.166.3.3_19.19.19.9.out.average,0.279689,weak
193.6.176.62_19.19.19.16.out.average,0.123377,very-weak
194.105.226.20_19.19.19.17.out.average,0.246991,weak
194.116.84.15_19.19.19.18.out.average,0.212246,weak
194.2.0.36_19.19.19.10.out.average,0.219759,weak
195.14.50.21_19.19.19.32.out.average,0.158224,very-weak
198.145.20.143_19.19.19.22.out.average,0.172659,very-weak
202.28.209.254_19.19.19.40.out.average,0.258040,weak
202.38.97.230_19.19.19.4.out.average,0.177734,very-weak
202.8.44.105_19.19.19.23.out.average,0.191430,weak
202.90.159.172_19.19.19.25.out.average,0.128725,very-weak
203.0.178.32_19.19.19.1.out.average,0.165739,very-weak
203.178.132.80_19.19.19.19.out.average,0.228074,weak
212.110.161.69_19.19.19.45.out.average,0.215548,weak
212.191.2.18_19.19.19.26.out.average,0.276905,weak
212.191.2.18_19.19.19.27.out.average,0.159328,very-weak
212.47.239.32_19.19.19.11.out.average,0.211259,weak
213.166.187.92_19.19.19.36.out.average,0.244561,weak
213.229.119.169_19.19.19.44.out.average,0.247403,weak
219.216.128.25_19.19.19.5.out.average,0.214253,weak
23.79.234.240_19.19.19.48.out.average,0.217588,weak
31.193.177.85_19.19.19.2.out.average,0.122792,very-weak
5.101.158.166_19.19.19.31.out.average,0.171291,very-weak
58.28.25.150_19.19.19.24.out.average,0.215840,weak
62.44.96.38_19.19.19.3.out.average,0.218830,weak
78.154.171.62_19.19.19.43.out.average,0.213963,weak
78.96.7.8_19.19.19.30.out.average,0.177889,very-weak
95.173.191.11_19.19.19.42.out.average,0.173739,very-weak
117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.999991,very-strong
122.152.116.24_19.19.19.20.out.average,0.287639,weak
130.133.3.130_19.19.19.12.out.average,0.181416,very-weak
130.161.131.20_19.19.19.21.out.average,0.045891,very-weak
130.206.1.5_19.19.19.35.out.average,0.123919,very-weak
130.225.254.116_19.19.19.8.out.average,0.153283,very-weak
130.236.254.50_19.19.19.37.out.average,0.205689,weak
130.75.2.22_19.19.19.13.out.average,0.143135,very-weak
137.189.4.14_19.19.19.15.out.average,0.134795,very-weak
140.117.11.7_19.19.19.39.out.average,0.069124,very-weak
140.128.9.18_19.19.19.38.out.average,0.072302,very-weak
141.217.0.199_19.19.19.47.out.average,0.312933,weak
147.102.222.211_19.19.19.14.out.average,0.172187,very-weak
153.19.251.225_19.19.19.28.out.average,0.170639,very-weak
155.210.4.101_19.19.19.34.out.average,0.275654,weak
162.213.3.248_19.19.19.49.out.average,0.183275,very-weak
163.1.221.67_19.19.19.46.out.average,0.172819,very-weak
163.178.174.25_19.19.19.6.out.average,0.108997,very-weak
185.87.121.190_19.19.19.41.out.average,0.212004,weak
192.38.78.162_19.19.19.7.out.average,0.169057,very-weak
193.136.164.6_19.19.19.29.out.average,0.180904,very-weak
193.166.3.3_19.19.19.9.out.average,0.190067,weak
193.6.176.62_19.19.19.16.out.average,0.156243,very-weak
194.105.226.20_19.19.19.17.out.average,0.180062,very-weak
194.116.84.15_19.19.19.18.out.average,0.192000,weak
194.2.0.36_19.19.19.10.out.average,0.245529,weak
195.14.50.21_19.19.19.32.out.average,0.194530,weak
198.145.20.143_19.19.19.22.out.average,0.161453,very-weak
202.28.209.254_19.19.19.40.out.average,0.123050,very-weak
202.38.97.230_19.19.19.4.out.average,0.084080,very-weak
202.8.44.105_19.19.19.23.out.average,0.166700,very-weak
202.90.159.172_19.19.19.25.out.average,0.232451,weak
203.0.178.32_19.19.19.1.out.average,0.215269,weak
203.178.132.80_19.19.19.19.out.average,0.268173,weak
212.110.161.69_19.19.19.45.out.average,0.203623,weak
212.191.2.18_19.19.19.26.out.average,0.215794,weak
212.191.2.18_19.19.19.27.out.average,0.151282,very-weak
212.47.239.32_19.19.19.11.out.average,0.235740,weak
213.166.187.92_19.19.19.36.out.average,0.200284,weak
213.229.119.169_19.19.19.44.out.average,0.127834,very-weak
219.216.128.25_19.19.19.5.out.average,0.171454,very-weak
23.79.234.240_19.19.19.48.out.average,0.279669,weak
31.193.177.85_19.19.19.2.out.average,0.064670,very-weak
5.101.158.166_19.19.19.31.out.average,0.207851,weak
58.28.25.150_19.19.19.24.out.average,0.110381,very-weak
62.44.96.38_19.19.19.3.out.average,0.291696,weak
78.154.171.62_19.19.19.43.out.average,0.134392,very-weak
78.96.7.8_19.19.19.30.out.average,0.115567,very-weak
95.173.191.11_19.19.19.42.out.average,0.129757,very-weak
122.152.116.24_19.19.19.1.out.average, 
117.120.2.17_19.19.19.33.out.average,0.107148,very-weak
122.152.116.24_19.19.19.20.out.average,0.462629,moderate
130.133.3.130_19.19.19.12.out.average,0.158711,very-weak
130.161.131.20_19.19.19.21.out.average,0.225591,weak
130.206.1.5_19.19.19.35.out.average,0.241545,weak
130.225.254.116_19.19.19.8.out.average,0.176078,very-weak
130.236.254.50_19.19.19.37.out.average,0.197610,weak
130.75.2.22_19.19.19.13.out.average,0.277589,weak
137.189.4.14_19.19.19.15.out.average,0.311943,weak
140.117.11.7_19.19.19.39.out.average,0.249131,weak
140.128.9.18_19.19.19.38.out.average,0.171921,very-weak
141.217.0.199_19.19.19.47.out.average,0.195900,weak
147.102.222.211_19.19.19.14.out.average,0.166859,very-weak
153.19.251.225_19.19.19.28.out.average,0.199492,weak
155.210.4.101_19.19.19.34.out.average,0.186231,very-weak
162.213.3.248_19.19.19.49.out.average,0.224330,weak
163.1.221.67_19.19.19.46.out.average,0.157691,very-weak
163.178.174.25_19.19.19.6.out.average,0.162941,very-weak
185.87.121.190_19.19.19.41.out.average,0.227743,weak
192.38.78.162_19.19.19.7.out.average,0.148801,very-weak
193.136.164.6_19.19.19.29.out.average,0.259825,weak
193.166.3.3_19.19.19.9.out.average,0.240493,weak
