117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.999991,very-strong
122.152.116.24_19.19.19.20.out.average,0.169008,very-weak
130.133.3.130_19.19.19.12.out.average,0.008175,very-weak
130.161.131.20_19.19.19.21.out.average,0.249606,weak
130.206.1.5_19.19.19.35.out.average,0.131424,very-weak
130.225.254.116_19.19.19.8.out.average,0.184263,very-weak
130.236.254.50_19.19.19.37.out.average,0.176977,very-weak
130.75.2.22_19.19.19.13.out.average,0.288709,weak
137.189.4.14_19.19.19.15.out.average,0.133688,very-weak
140.117.11.7_19.19.19.39.out.average,0.169869,very-weak
140.128.9.18_19.19.19.38.out.average,0.184483,very-weak
141.217.0.199_19.19.19.47.out.average,0.245521,weak
147.102.222.211_19.19.19.14.out.average,0.275288,weak
149.20.37.36_19.19.19.22.out.average,0.049875,very-weak
153.19.251.225_19.19.19.28.out.average,0.307525,weak
155.210.4.101_19.19.19.34.out.average,0.271305,weak
162.213.3.248_19.19.19.49.out.average,0.086978,very-weak
163.1.160.163_19.19.19.46.out.average,0.256286,weak
163.178.174.25_19.19.19.6.out.average,0.186691,very-weak
185.87.121.190_19.19.19.41.out.average,0.295285,weak
192.38.78.162_19.19.19.7.out.average,0.113941,very-weak
193.136.164.6_19.19.19.29.out.average,0.231186,weak
193.166.3.3_19.19.19.9.out.average,0.202398,weak
193.6.176.62_19.19.19.16.out.average,0.143370,very-weak
194.105.226.20_19.19.19.17.out.average,0.178838,very-weak
194.116.84.15_19.19.19.18.out.average,0.119536,very-weak
194.2.0.36_19.19.19.10.out.average,0.147186,very-weak
195.14.50.21_19.19.19.32.out.average,0.162788,very-weak
202.28.209.254_19.19.19.40.out.average,0.142968,very-weak
202.38.97.230_19.19.19.4.out.average,0.111337,very-weak
202.8.44.105_19.19.19.23.out.average,0.013538,very-weak
202.90.159.172_19.19.19.25.out.average,0.136480,very-weak
203.0.178.32_19.19.19.1.out.average,0.219484,weak
203.178.132.80_19.19.19.19.out.average,0.042660,very-weak
212.110.161.69_19.19.19.45.out.average,0.150219,very-weak
212.191.2.18_19.19.19.26.out.average,0.208251,weak
212.191.2.18_19.19.19.27.out.average,0.183348,very-weak
212.47.239.32_19.19.19.11.out.average,0.208552,weak
213.166.187.92_19.19.19.36.out.average,0.137436,very-weak
213.229.119.169_19.19.19.44.out.average,0.256196,weak
219.216.128.25_19.19.19.5.out.average,0.154851,very-weak
23.79.234.240_19.19.19.48.out.average,0.157815,very-weak
31.193.177.85_19.19.19.2.out.average,0.091208,very-weak
5.101.158.166_19.19.19.31.out.average,0.104012,very-weak
58.28.25.150_19.19.19.24.out.average,0.241479,weak
62.44.96.38_19.19.19.3.out.average,0.251519,weak
78.154.171.62_19.19.19.43.out.average,0.189092,very-weak
78.96.7.8_19.19.19.30.out.average,0.105967,very-weak
95.173.191.11_19.19.19.42.out.average,0.222539,weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,0.168733,very-weak
122.152.116.24_19.19.19.20.out.average,1.000000,very-strong
130.133.3.130_19.19.19.12.out.average,0.170785,very-weak
130.161.131.20_19.19.19.21.out.average,0.292131,weak
130.206.1.5_19.19.19.35.out.average,0.082992,very-weak
130.225.254.116_19.19.19.8.out.average,0.202406,weak
130.236.254.50_19.19.19.37.out.average,0.288291,weak
130.75.2.22_19.19.19.13.out.average,0.021918,very-weak
137.189.4.14_19.19.19.15.out.average,0.023514,very-weak
140.117.11.7_19.19.19.39.out.average,0.183290,very-weak
140.128.9.18_19.19.19.38.out.average,0.184444,very-weak
141.217.0.199_19.19.19.47.out.average,0.340280,weak
147.102.222.211_19.19.19.14.out.average,0.090674,very-weak
149.20.37.36_19.19.19.22.out.average,0.286698,weak
153.19.251.225_19.19.19.28.out.average,0.084435,very-weak
155.210.4.101_19.19.19.34.out.average,0.075409,very-weak
162.213.3.248_19.19.19.49.out.average,0.292736,weak
163.1.160.163_19.19.19.46.out.average,0.085975,very-weak
163.178.174.25_19.19.19.6.out.average,0.326981,weak
185.87.121.190_19.19.19.41.out.average,0.039534,very-weak
192.38.78.162_19.19.19.7.out.average,0.188943,very-weak
193.136.164.6_19.19.19.29.out.average,0.127229,very-weak
193.166.3.3_19.19.19.9.out.average,0.215928,weak
193.6.176.62_19.19.19.16.out.average,0.206070,weak
194.105.226.20_19.19.19.17.out.average,0.217735,weak
194.116.84.15_19.19.19.18.out.average,0.213341,weak
194.2.0.36_19.19.19.10.out.average,0.191188,weak
195.14.50.21_19.19.19.32.out.average,0.188847,very-weak
202.28.209.254_19.19.19.40.out.average,0.128036,very-weak
202.38.97.230_19.19.19.4.out.average,0.166053,very-weak
202.8.44.105_19.19.19.23.out.average,0.101538,very-weak
202.90.159.172_19.19.19.25.out.average,0.072877,very-weak
203.0.178.32_19.19.19.1.out.average,0.159593,very-weak
203.178.132.80_19.19.19.19.out.average,0.221011,weak
212.110.161.69_19.19.19.45.out.average,0.176677,very-weak
212.191.2.18_19.19.19.26.out.average,0.114521,very-weak
212.191.2.18_19.19.19.27.out.average,0.151633,very-weak
212.47.239.32_19.19.19.11.out.average,0.341246,weak
213.166.187.92_19.19.19.36.out.average,0.246381,weak
213.229.119.169_19.19.19.44.out.average,0.043583,very-weak
219.216.128.25_19.19.19.5.out.average,0.063398,very-weak
23.79.234.240_19.19.19.48.out.average,0.350676,weak
31.193.177.85_19.19.19.2.out.average,0.283714,weak
5.101.158.166_19.19.19.31.out.average,0.212497,weak
58.28.25.150_19.19.19.24.out.average,0.105073,very-weak
62.44.96.38_19.19.19.3.out.average,0.075570,very-weak
78.154.171.62_19.19.19.43.out.average,0.049909,very-weak
78.96.7.8_19.19.19.30.out.average,-0.011926,very-weak
95.173.191.11_19.19.19.42.out.average,0.164935,very-weak
130.133.3.130_19.19.19.12.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.007002,very-weak
122.152.116.24_19.19.19.20.out.average,0.168353,very-weak
130.133.3.130_19.19.19.12.out.average,0.985817,very-strong
130.161.131.20_19.19.19.21.out.average,0.147821,very-weak
130.206.1.5_19.19.19.35.out.average,0.115473,very-weak
130.225.254.116_19.19.19.8.out.average,0.103726,very-weak
130.236.254.50_19.19.19.37.out.average,0.057266,very-weak
130.75.2.22_19.19.19.13.out.average,0.007067,very-weak
137.189.4.14_19.19.19.15.out.average,0.043211,very-weak
140.117.11.7_19.19.19.39.out.average,0.155410,very-weak
140.128.9.18_19.19.19.38.out.average,-0.055000,very-weak
141.217.0.199_19.19.19.47.out.average,0.107081,very-weak
147.102.222.211_19.19.19.14.out.average,0.001449,very-weak
149.20.37.36_19.19.19.22.out.average,0.183619,very-weak
153.19.251.225_19.19.19.28.out.average,0.075843,very-weak
155.210.4.101_19.19.19.34.out.average,-0.034718,very-weak
162.213.3.248_19.19.19.49.out.average,0.135124,very-weak
163.1.160.163_19.19.19.46.out.average,-0.023024,very-weak
163.178.174.25_19.19.19.6.out.average,0.093066,very-weak
185.87.121.190_19.19.19.41.out.average,0.018278,very-weak
192.38.78.162_19.19.19.7.out.average,0.033107,very-weak
193.136.164.6_19.19.19.29.out.average,0.101761,very-weak
193.166.3.3_19.19.19.9.out.average,0.068959,very-weak
193.6.176.62_19.19.19.16.out.average,0.147808,very-weak
194.105.226.20_19.19.19.17.out.average,0.092091,very-weak
194.116.84.15_19.19.19.18.out.average,0.138068,very-weak
194.2.0.36_19.19.19.10.out.average,0.111585,very-weak
195.14.50.21_19.19.19.32.out.average,0.123072,very-weak
202.28.209.254_19.19.19.40.out.average,0.198704,weak
202.38.97.230_19.19.19.4.out.average,0.107208,very-weak
202.8.44.105_19.19.19.23.out.average,0.109482,very-weak
202.90.159.172_19.19.19.25.out.average,0.152514,very-weak
203.0.178.32_19.19.19.1.out.average,0.082173,very-weak
203.178.132.80_19.19.19.19.out.average,0.103564,very-weak
212.110.161.69_19.19.19.45.out.average,0.209979,weak
212.191.2.18_19.19.19.26.out.average,-0.005813,very-weak
212.191.2.18_19.19.19.27.out.average,0.065945,very-weak
212.47.239.32_19.19.19.11.out.average,0.192036,weak
213.166.187.92_19.19.19.36.out.average,0.236004,weak
213.229.119.169_19.19.19.44.out.average,-0.072266,very-weak
219.216.128.25_19.19.19.5.out.average,0.108083,very-weak
23.79.234.240_19.19.19.48.out.average,0.191515,weak
31.193.177.85_19.19.19.2.out.average,0.251925,weak
5.101.158.166_19.19.19.31.out.average,0.214837,weak
58.28.25.150_19.19.19.24.out.average,0.071628,very-weak
62.44.96.38_19.19.19.3.out.average,-0.034731,very-weak
78.154.171.62_19.19.19.43.out.average,0.028256,very-weak
78.96.7.8_19.19.19.30.out.average,0.033663,very-weak
95.173.191.11_19.19.19.42.out.average,0.108749,very-weak
130.161.131.20_19.19.19.21.out.average, 
117.120.2.17_19.19.19.33.out.average,0.249631,weak
122.152.116.24_19.19.19.20.out.average,0.292131,weak
130.133.3.130_19.19.19.12.out.average,0.136105,very-weak
130.161.131.20_19.19.19.21.out.average,1.000000,very-strong
130.206.1.5_19.19.19.35.out.average,0.085296,very-weak
130.225.254.116_19.19.19.8.out.average,0.228449,weak
130.236.254.50_19.19.19.37.out.average,0.210107,weak
130.75.2.22_19.19.19.13.out.average,0.147599,very-weak
137.189.4.14_19.19.19.15.out.average,0.196307,weak
140.117.11.7_19.19.19.39.out.average,0.085657,very-weak
140.128.9.18_19.19.19.38.out.average,0.255952,weak
141.217.0.199_19.19.19.47.out.average,0.270200,weak
147.102.222.211_19.19.19.14.out.average,0.149286,very-weak
149.20.37.36_19.19.19.22.out.average,0.254601,weak
153.19.251.225_19.19.19.28.out.average,0.132989,very-weak
155.210.4.101_19.19.19.34.out.average,0.293553,weak
162.213.3.248_19.19.19.49.out.average,0.242900,weak
163.1.160.163_19.19.19.46.out.average,0.229048,weak
163.178.174.25_19.19.19.6.out.average,0.127995,very-weak
185.87.121.190_19.19.19.41.out.average,0.139663,very-weak
192.38.78.162_19.19.19.7.out.average,0.200289,weak
193.136.164.6_19.19.19.29.out.average,0.193900,weak
193.166.3.3_19.19.19.9.out.average,0.211049,weak
193.6.176.62_19.19.19.16.out.average,0.165051,very-weak
194.105.226.20_19.19.19.17.out.average,0.220474,weak
194.116.84.15_19.19.19.18.out.average,0.251797,weak
194.2.0.36_19.19.19.10.out.average,0.265770,weak
195.14.50.21_19.19.19.32.out.average,0.211501,weak
202.28.209.254_19.19.19.40.out.average,0.183501,very-weak
202.38.97.230_19.19.19.4.out.average,0.032537,very-weak
202.8.44.105_19.19.19.23.out.average,0.079380,very-weak
202.90.159.172_19.19.19.25.out.average,0.048771,very-weak
203.0.178.32_19.19.19.1.out.average,0.166141,very-weak
203.178.132.80_19.19.19.19.out.average,0.219956,weak
212.110.161.69_19.19.19.45.out.average,0.299441,weak
212.191.2.18_19.19.19.26.out.average,0.291321,weak
212.191.2.18_19.19.19.27.out.average,0.328353,weak
212.47.239.32_19.19.19.11.out.average,0.274200,weak
213.166.187.92_19.19.19.36.out.average,0.216825,weak
213.229.119.169_19.19.19.44.out.average,0.183346,very-weak
219.216.128.25_19.19.19.5.out.average,0.061128,very-weak
23.79.234.240_19.19.19.48.out.average,0.195157,weak
31.193.177.85_19.19.19.2.out.average,0.255912,weak
5.101.158.166_19.19.19.31.out.average,0.272820,weak
58.28.25.150_19.19.19.24.out.average,0.209175,weak
62.44.96.38_19.19.19.3.out.average,0.147841,very-weak
78.154.171.62_19.19.19.43.out.average,0.147929,very-weak
78.96.7.8_19.19.19.30.out.average,0.088066,very-weak
95.173.191.11_19.19.19.42.out.average,0.095924,very-weak
130.206.1.5_19.19.19.35.out.average, 
117.120.2.17_19.19.19.33.out.average,0.133622,very-weak
122.152.116.24_19.19.19.20.out.average,0.074030,very-weak
130.133.3.130_19.19.19.12.out.average,0.128636,very-weak
130.161.131.20_19.19.19.21.out.average,0.075842,very-weak
130.206.1.5_19.19.19.35.out.average,0.986715,very-strong
130.225.254.116_19.19.19.8.out.average,0.145945,very-weak
130.236.254.50_19.19.19.37.out.average,0.243269,weak
130.75.2.22_19.19.19.13.out.average,0.214843,weak
137.189.4.14_19.19.19.15.out.average,0.070110,very-weak
140.117.11.7_19.19.19.39.out.average,0.200183,weak
140.128.9.18_19.19.19.38.out.average,0.087136,very-weak
141.217.0.199_19.19.19.47.out.average,0.058399,very-weak
147.102.222.211_19.19.19.14.out.average,0.145064,very-weak
149.20.37.36_19.19.19.22.out.average,0.056775,very-weak
153.19.251.225_19.19.19.28.out.average,0.182291,very-weak
155.210.4.101_19.19.19.34.out.average,0.118092,very-weak
162.213.3.248_19.19.19.49.out.average,0.159112,very-weak
163.1.160.163_19.19.19.46.out.average,0.107858,very-weak
163.178.174.25_19.19.19.6.out.average,0.049465,very-weak
185.87.121.190_19.19.19.41.out.average,0.211587,weak
192.38.78.162_19.19.19.7.out.average,0.129105,very-weak
193.136.164.6_19.19.19.29.out.average,0.195004,weak
193.166.3.3_19.19.19.9.out.average,0.076890,very-weak
193.6.176.62_19.19.19.16.out.average,0.130065,very-weak
194.105.226.20_19.19.19.17.out.average,0.049276,very-weak
194.116.84.15_19.19.19.18.out.average,0.209397,weak
194.2.0.36_19.19.19.10.out.average,0.095505,very-weak
195.14.50.21_19.19.19.32.out.average,0.129567,very-weak
202.28.209.254_19.19.19.40.out.average,0.259580,weak
202.38.97.230_19.19.19.4.out.average,0.083978,very-weak
202.8.44.105_19.19.19.23.out.average,0.023379,very-weak
202.90.159.172_19.19.19.25.out.average,0.340141,weak
203.0.178.32_19.19.19.1.out.average,0.218275,weak
203.178.132.80_19.19.19.19.out.average,0.046353,very-weak
212.110.161.69_19.19.19.45.out.average,0.122320,very-weak
212.191.2.18_19.19.19.26.out.average,0.046862,very-weak
212.191.2.18_19.19.19.27.out.average,0.111337,very-weak
212.47.239.32_19.19.19.11.out.average,0.191859,weak
213.166.187.92_19.19.19.36.out.average,0.092393,very-weak
213.229.119.169_19.19.19.44.out.average,0.114600,very-weak
219.216.128.25_19.19.19.5.out.average,0.130820,very-weak
23.79.234.240_19.19.19.48.out.average,0.095199,very-weak
31.193.177.85_19.19.19.2.out.average,0.102803,very-weak
5.101.158.166_19.19.19.31.out.average,0.046297,very-weak
58.28.25.150_19.19.19.24.out.average,0.167254,very-weak
62.44.96.38_19.19.19.3.out.average,0.266233,weak
78.154.171.62_19.19.19.43.out.average,0.119764,very-weak
78.96.7.8_19.19.19.30.out.average,0.022951,very-weak
