117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.563152,moderate
122.152.116.24_19.19.19.20.out.average,0.063316,very-weak
130.133.3.130_19.19.19.12.out.average,0.117478,very-weak
130.161.131.20_19.19.19.21.out.average,-0.028306,very-weak
130.206.1.5_19.19.19.35.out.average,-0.144480,very-weak
130.225.254.116_19.19.19.8.out.average,0.095866,very-weak
130.236.254.50_19.19.19.37.out.average,-0.103939,very-weak
130.75.2.22_19.19.19.13.out.average,-0.044660,very-weak
137.189.4.14_19.19.19.15.out.average,0.100749,very-weak
140.117.11.7_19.19.19.39.out.average,0.034314,very-weak
140.128.9.18_19.19.19.38.out.average,0.025821,very-weak
141.217.0.199_19.19.19.47.out.average,-0.057665,very-weak
147.102.222.211_19.19.19.14.out.average,-0.005026,very-weak
149.20.37.36_19.19.19.22.out.average,-0.060927,very-weak
153.19.251.225_19.19.19.28.out.average,-0.118351,very-weak
155.210.4.101_19.19.19.34.out.average,-0.035965,very-weak
162.213.3.248_19.19.19.49.out.average,-0.080456,very-weak
163.1.160.163_19.19.19.46.out.average,-0.074538,very-weak
163.178.174.25_19.19.19.6.out.average,-0.030697,very-weak
185.87.121.190_19.19.19.41.out.average,-0.049431,very-weak
192.38.78.162_19.19.19.7.out.average,0.065438,very-weak
193.136.164.6_19.19.19.29.out.average,-0.027376,very-weak
193.166.3.3_19.19.19.9.out.average,-0.028282,very-weak
193.6.176.62_19.19.19.16.out.average,-0.063580,very-weak
194.105.226.20_19.19.19.17.out.average,-0.114894,very-weak
194.116.84.15_19.19.19.18.out.average,-0.001061,very-weak
194.2.0.36_19.19.19.10.out.average,-0.141986,very-weak
195.14.50.21_19.19.19.32.out.average,-0.081758,very-weak
202.28.209.254_19.19.19.40.out.average,-0.028721,very-weak
202.38.97.230_19.19.19.4.out.average,-0.156613,very-weak
202.8.44.105_19.19.19.23.out.average,0.092794,very-weak
202.90.159.172_19.19.19.25.out.average,-0.025583,very-weak
203.0.178.32_19.19.19.1.out.average,0.112220,very-weak
203.178.132.80_19.19.19.19.out.average,0.008820,very-weak
212.110.161.69_19.19.19.45.out.average,-0.012542,very-weak
212.191.2.18_19.19.19.26.out.average,-0.112231,very-weak
212.191.2.18_19.19.19.27.out.average,-0.044692,very-weak
212.47.239.32_19.19.19.11.out.average,-0.033950,very-weak
213.166.187.92_19.19.19.36.out.average,0.100604,very-weak
213.229.119.169_19.19.19.44.out.average,-0.025224,very-weak
219.216.128.25_19.19.19.5.out.average,-0.125133,very-weak
23.79.234.240_19.19.19.48.out.average,-0.105323,very-weak
31.193.177.85_19.19.19.2.out.average,0.029149,very-weak
5.101.158.166_19.19.19.31.out.average,-0.101032,very-weak
58.28.25.150_19.19.19.24.out.average,0.018003,very-weak
62.44.96.38_19.19.19.3.out.average,0.076232,very-weak
78.154.171.62_19.19.19.43.out.average,0.013613,very-weak
78.96.7.8_19.19.19.30.out.average,-0.005405,very-weak
95.173.191.11_19.19.19.42.out.average,-0.057662,very-weak
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,0.066876,very-weak
122.152.116.24_19.19.19.20.out.average,0.658477,strong
130.133.3.130_19.19.19.12.out.average,0.038911,very-weak
130.161.131.20_19.19.19.21.out.average,0.043065,very-weak
130.206.1.5_19.19.19.35.out.average,0.017884,very-weak
130.225.254.116_19.19.19.8.out.average,-0.072934,very-weak
130.236.254.50_19.19.19.37.out.average,0.098248,very-weak
130.75.2.22_19.19.19.13.out.average,0.064870,very-weak
137.189.4.14_19.19.19.15.out.average,-0.003774,very-weak
140.117.11.7_19.19.19.39.out.average,-0.091046,very-weak
140.128.9.18_19.19.19.38.out.average,0.169949,very-weak
141.217.0.199_19.19.19.47.out.average,0.052392,very-weak
147.102.222.211_19.19.19.14.out.average,-0.111535,very-weak
149.20.37.36_19.19.19.22.out.average,0.064933,very-weak
153.19.251.225_19.19.19.28.out.average,-0.053991,very-weak
155.210.4.101_19.19.19.34.out.average,0.061915,very-weak
162.213.3.248_19.19.19.49.out.average,0.030519,very-weak
163.1.160.163_19.19.19.46.out.average,-0.156651,very-weak
163.178.174.25_19.19.19.6.out.average,-0.060940,very-weak
185.87.121.190_19.19.19.41.out.average,0.088587,very-weak
192.38.78.162_19.19.19.7.out.average,-0.059357,very-weak
193.136.164.6_19.19.19.29.out.average,0.125034,very-weak
193.166.3.3_19.19.19.9.out.average,0.023355,very-weak
193.6.176.62_19.19.19.16.out.average,0.013066,very-weak
194.105.226.20_19.19.19.17.out.average,0.109669,very-weak
194.116.84.15_19.19.19.18.out.average,0.005838,very-weak
194.2.0.36_19.19.19.10.out.average,-0.020164,very-weak
