117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,0.441026,moderate
122.152.116.24_19.19.19.20.out.average,0.289037,weak
130.133.3.130_19.19.19.12.out.average,0.225427,weak
130.161.131.20_19.19.19.21.out.average,0.154394,very-weak
130.206.1.5_19.19.19.35.out.average,0.193641,weak
130.225.254.116_19.19.19.8.out.average,0.277308,weak
130.236.254.50_19.19.19.37.out.average,0.199877,weak
130.75.2.22_19.19.19.13.out.average,0.137130,very-weak
137.189.4.14_19.19.19.15.out.average,0.167964,very-weak
140.117.11.7_19.19.19.39.out.average,0.202640,weak
140.128.9.18_19.19.19.38.out.average,0.301637,weak
141.217.0.199_19.19.19.47.out.average,0.239844,weak
147.102.222.211_19.19.19.14.out.average,0.194435,weak
149.20.37.36_19.19.19.22.out.average,0.267658,weak
153.19.251.225_19.19.19.28.out.average,0.186063,very-weak
155.210.4.101_19.19.19.34.out.average,0.256687,weak
162.213.3.248_19.19.19.49.out.average,0.270351,weak
163.1.160.163_19.19.19.46.out.average,0.189908,very-weak
163.178.174.25_19.19.19.6.out.average,0.214322,weak
185.87.121.190_19.19.19.41.out.average,0.201022,weak
192.38.78.162_19.19.19.7.out.average,0.209226,weak
193.136.164.6_19.19.19.29.out.average,0.275322,weak
193.166.3.3_19.19.19.9.out.average,0.305472,weak
193.6.176.62_19.19.19.16.out.average,0.210025,weak
194.105.226.20_19.19.19.17.out.average,0.262418,weak
194.116.84.15_19.19.19.18.out.average,0.167137,very-weak
194.2.0.36_19.19.19.10.out.average,0.266765,weak
195.14.50.21_19.19.19.32.out.average,0.261360,weak
202.28.209.254_19.19.19.40.out.average,0.162447,very-weak
202.38.97.230_19.19.19.4.out.average,0.264984,weak
202.8.44.105_19.19.19.23.out.average,0.212826,weak
202.90.159.172_19.19.19.25.out.average,0.197030,weak
203.0.178.32_19.19.19.1.out.average,0.186105,very-weak
203.178.132.80_19.19.19.19.out.average,0.321238,weak
212.110.161.69_19.19.19.45.out.average,0.134704,very-weak
