10.0.2.2_19.19.19.12.out.average, 
10.0.2.2_19.19.19.12.out.average,1.000000,very-strong
10.0.2.2_19.19.19.15.out.average,0.999934,very-strong
10.0.2.2_19.19.19.7.out.average,0.999933,very-strong
117.120.2.17_19.19.19.33.out.average,-0.838231,very-strong
122.152.116.24_19.19.19.20.out.average,-0.823727,very-strong
130.133.3.130_19.19.19.12.out.average,-0.849416,very-strong
130.161.131.20_19.19.19.21.out.average,-0.848196,very-strong
130.206.1.5_19.19.19.35.out.average,-0.839820,very-strong
130.225.254.116_19.19.19.8.out.average,-0.826897,very-strong
130.236.254.50_19.19.19.37.out.average,-0.834742,very-strong
130.75.2.22_19.19.19.13.out.average,-0.838820,very-strong
137.189.4.14_19.19.19.15.out.average,-0.823206,very-strong
140.117.11.7_19.19.19.39.out.average,-0.841429,very-strong
140.128.9.18_19.19.19.38.out.average,-0.854230,very-strong
141.217.0.199_19.19.19.47.out.average,-0.844120,very-strong
147.102.222.211_19.19.19.14.out.average,-0.828369,very-strong
149.20.37.36_19.19.19.22.out.average,-0.828033,very-strong
153.19.251.225_19.19.19.28.out.average,-0.839418,very-strong
155.210.4.101_19.19.19.34.out.average,-0.841185,very-strong
162.213.3.248_19.19.19.49.out.average,-0.838160,very-strong
163.1.160.163_19.19.19.46.out.average,-0.845689,very-strong
163.1.221.67_19.19.19.46.out.average,0.999934,very-strong
163.178.174.25_19.19.19.6.out.average,-0.827580,very-strong
185.87.121.190_19.19.19.41.out.average,-0.825743,very-strong
192.38.78.162_19.19.19.7.out.average,-0.824434,very-strong
193.136.164.6_19.19.19.29.out.average,-0.814941,very-strong
193.166.3.3_19.19.19.9.out.average,-0.800118,very-strong
193.6.176.62_19.19.19.16.out.average,-0.819622,very-strong
194.105.226.20_19.19.19.17.out.average,-0.814923,very-strong
194.116.84.15_19.19.19.18.out.average,-0.840616,very-strong
194.2.0.36_19.19.19.10.out.average,-0.834605,very-strong
195.14.50.21_19.19.19.32.out.average,-0.835883,very-strong
202.28.209.254_19.19.19.40.out.average,-0.859593,very-strong
202.38.97.230_19.19.19.4.out.average,-0.825352,very-strong
202.8.44.105_19.19.19.23.out.average,-0.852385,very-strong
202.90.159.172_19.19.19.25.out.average,-0.842147,very-strong
203.0.178.32_19.19.19.1.out.average,-0.789817,strong
203.178.132.80_19.19.19.19.out.average,-0.845934,very-strong
212.110.161.69_19.19.19.45.out.average,-0.822099,very-strong
212.191.2.18_19.19.19.26.out.average,-0.846982,very-strong
212.191.2.18_19.19.19.27.out.average,-0.849195,very-strong
212.47.239.32_19.19.19.11.out.average,-0.817467,very-strong
213.166.187.92_19.19.19.36.out.average,-0.843985,very-strong
213.229.119.169_19.19.19.44.out.average,-0.838871,very-strong
219.216.128.25_19.19.19.5.out.average,-0.843847,very-strong
23.79.234.240_19.19.19.48.out.average,-0.823628,very-strong
31.193.177.85_19.19.19.2.out.average,-0.840685,very-strong
5.101.158.166_19.19.19.31.out.average,-0.817463,very-strong
58.28.25.150_19.19.19.24.out.average,-0.827784,very-strong
62.44.96.38_19.19.19.3.out.average,-0.852061,very-strong
78.154.171.62_19.19.19.43.out.average,-0.862262,very-strong
78.96.7.8_19.19.19.30.out.average,-0.849923,very-strong
95.173.191.11_19.19.19.42.out.average,-0.865059,very-strong
10.0.2.2_19.19.19.15.out.average, 
10.0.2.2_19.19.19.12.out.average,0.999934,very-strong
10.0.2.2_19.19.19.15.out.average,1.000000,very-strong
10.0.2.2_19.19.19.7.out.average,0.999736,very-strong
117.120.2.17_19.19.19.33.out.average,-0.856600,very-strong
122.152.116.24_19.19.19.20.out.average,-0.841783,very-strong
130.133.3.130_19.19.19.12.out.average,-0.867753,very-strong
130.161.131.20_19.19.19.21.out.average,-0.866718,very-strong
130.206.1.5_19.19.19.35.out.average,-0.857954,very-strong
130.225.254.116_19.19.19.8.out.average,-0.844897,very-strong
130.236.254.50_19.19.19.37.out.average,-0.852910,very-strong
130.75.2.22_19.19.19.13.out.average,-0.857105,very-strong
137.189.4.14_19.19.19.15.out.average,-0.840959,very-strong
140.117.11.7_19.19.19.39.out.average,-0.859983,very-strong
140.128.9.18_19.19.19.38.out.average,-0.872648,very-strong
141.217.0.199_19.19.19.47.out.average,-0.862728,very-strong
147.102.222.211_19.19.19.14.out.average,-0.846674,very-strong
149.20.37.36_19.19.19.22.out.average,-0.846173,very-strong
153.19.251.225_19.19.19.28.out.average,-0.857562,very-strong
155.210.4.101_19.19.19.34.out.average,-0.859590,very-strong
162.213.3.248_19.19.19.49.out.average,-0.856388,very-strong
163.1.160.163_19.19.19.46.out.average,-0.864277,very-strong
163.1.221.67_19.19.19.46.out.average,1.000000,very-strong
163.178.174.25_19.19.19.6.out.average,-0.845579,very-strong
185.87.121.190_19.19.19.41.out.average,-0.843706,very-strong
