117.120.2.17_19.19.19.33.out.average, 
117.120.2.17_19.19.19.33.out.average,1.000000,very-strong
122.152.116.24_19.19.19.20.out.average,0.847237,very-strong
130.133.3.130_19.19.19.12.out.average,0.581401,moderate
130.161.131.20_19.19.19.21.out.average,0.836555,very-strong
130.206.1.5_19.19.19.35.out.average,0.631329,strong
130.225.254.116_19.19.19.8.out.average,0.642156,strong
130.236.254.50_19.19.19.37.out.average,0.434935,moderate
130.75.2.22_19.19.19.13.out.average,0.450555,moderate
137.189.4.14_19.19.19.15.out.average,0.462811,moderate
140.117.11.7_19.19.19.39.out.average,0.571463,moderate
140.128.9.18_19.19.19.38.out.average,0.852651,very-strong
141.217.0.199_19.19.19.47.out.average,0.800538,very-strong
147.102.222.211_19.19.19.14.out.average,0.868458,very-strong
149.20.37.36_19.19.19.22.out.average,0.765883,strong
153.19.251.225_19.19.19.28.out.average,0.793336,very-strong
155.210.4.101_19.19.19.34.out.average,0.620460,strong
162.213.3.248_19.19.19.49.out.average,0.750628,strong
163.1.160.163_19.19.19.46.out.average,0.739529,strong
163.178.174.25_19.19.19.6.out.average,0.859514,very-strong
185.87.121.190_19.19.19.41.out.average,0.607762,strong
192.38.78.162_19.19.19.7.out.average,0.276411,weak
193.136.164.6_19.19.19.29.out.average,0.792267,very-strong
193.166.3.3_19.19.19.9.out.average,0.836416,very-strong
193.6.176.62_19.19.19.16.out.average,0.853852,very-strong
194.105.226.20_19.19.19.17.out.average,0.856175,very-strong
194.116.84.15_19.19.19.18.out.average,0.642507,strong
194.2.0.36_19.19.19.10.out.average,0.850833,very-strong
195.14.50.21_19.19.19.32.out.average,0.848165,very-strong
202.28.209.254_19.19.19.40.out.average,0.609771,strong
202.38.97.230_19.19.19.4.out.average,0.707293,strong
202.8.44.105_19.19.19.23.out.average,0.414664,moderate
202.90.159.172_19.19.19.25.out.average,0.859130,very-strong
203.0.178.32_19.19.19.1.out.average,0.843507,very-strong
203.178.132.80_19.19.19.19.out.average,0.448464,moderate
212.110.161.69_19.19.19.45.out.average,0.809843,very-strong
212.191.2.18_19.19.19.26.out.average,0.863338,very-strong
212.191.2.18_19.19.19.27.out.average,0.690038,strong
212.47.239.32_19.19.19.11.out.average,0.501542,moderate
213.166.187.92_19.19.19.36.out.average,0.587151,moderate
213.229.119.169_19.19.19.44.out.average,0.543967,moderate
219.216.128.25_19.19.19.5.out.average,0.867905,very-strong
23.79.234.240_19.19.19.48.out.average,0.803570,very-strong
31.193.177.85_19.19.19.2.out.average,0.860012,very-strong
5.101.158.166_19.19.19.31.out.average,0.466346,moderate
58.28.25.150_19.19.19.24.out.average,0.840776,very-strong
62.44.96.38_19.19.19.3.out.average,0.371657,weak
78.154.171.62_19.19.19.43.out.average,0.732922,strong
78.96.7.8_19.19.19.30.out.average,0.558796,moderate
95.173.191.11_19.19.19.42.out.average,0.614045,strong
122.152.116.24_19.19.19.20.out.average, 
117.120.2.17_19.19.19.33.out.average,0.847237,very-strong
122.152.116.24_19.19.19.20.out.average,1.000000,very-strong
130.133.3.130_19.19.19.12.out.average,0.484250,moderate
130.161.131.20_19.19.19.21.out.average,0.891407,very-strong
130.206.1.5_19.19.19.35.out.average,0.577057,moderate
130.225.254.116_19.19.19.8.out.average,0.575416,moderate
130.236.254.50_19.19.19.37.out.average,0.289540,weak
130.75.2.22_19.19.19.13.out.average,0.315282,weak
137.189.4.14_19.19.19.15.out.average,0.301659,weak
140.117.11.7_19.19.19.39.out.average,0.462370,moderate
140.128.9.18_19.19.19.38.out.average,0.849921,very-strong
141.217.0.199_19.19.19.47.out.average,0.743690,strong
147.102.222.211_19.19.19.14.out.average,0.910790,very-strong
149.20.37.36_19.19.19.22.out.average,0.755355,strong
153.19.251.225_19.19.19.28.out.average,0.794158,very-strong
155.210.4.101_19.19.19.34.out.average,0.551728,moderate
162.213.3.248_19.19.19.49.out.average,0.660173,strong
163.1.160.163_19.19.19.46.out.average,0.714047,strong
163.178.174.25_19.19.19.6.out.average,0.923779,very-strong
185.87.121.190_19.19.19.41.out.average,0.545995,moderate
