122.152.116.24_19.19.19.20,165676,157392,39798,0,330160,75862,8844,0,7370,16214,0,334850,9172,79678,119394,529166,301106,0,0,0,0,0,0,0,0,0,10318,0,8844,5896,0,0,0,0,5896,0,0,0,4422,0,0,0,0,0,160666,499490,50996,0,0,0,5896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8844,4422,2948,0,0,0,0,0,0,0,0,0,10318,4422,412720,0,0,0,0,0,0,0,411246,100232,156244,16214,336072,10318,35376,226996,281534,16214,538010,0,4422,0,240262,496660,0,115435,8844,617663,7616,0,23584,0,309540,160666,7370,0,0,0,
130.133.3.130_19.19.19.12,1014,45975,146040,88440,141504,0,5896,11792,0,284482,546854,660352,4422,5896,29480,624976,138556,10318,33902,753214,306592,19162,538010,764314,692780,38324,829862,299222,26532,571912,2948,246158,784168,387662,29480,240262,63382,854920,616132,490842,0,349338,803330,823966,0,0,428934,222574,57486,221100,0,30954,114972,48642,129712,47168,358182,586652,1474,56012,10318,0,13266,42746,120868,51590,585178,2948,10318,63382,151822,79596,489368,669196,623502,583704,406824,458414,0,359656,389136,0,0,173932,387662,0,383240,997898,647086,1033274,0,36850,0,0,0,78122,505582,775324,368500,0,515900,296274,84018,280060,5896,0,266794,515900,632346,697202,545380,521796,741422,592548,582230,415668,0,0,0,0,
130.161.131.20_19.19.19.21,34792,120868,148500,61908,690486,0,246567,122342,377344,154770,73700,427460,69278,617606,290616,70752,759110,708470,29480,0,10318,7370,0,343442,123816,30954,5896,0,58960,56012,769428,619296,0,490842,1077082,667722,1283854,371448,0,496738,271216,134134,428934,103180,408298,0,110550,794486,428934,0,0,13266,0,284482,412720,440726,283008,35376,101706,0,324280,526218,0,94336,29480,0,8844,95810,489368,481998,0,101706,399454,17688,355234,529166,0,82544,577808,719280,420090,13266,60434,76648,20636,333124,436304,0,148874,1052436,446882,125290,512952,417142,0,0,0,8096,0,57486,109076,832810,222574,10318,0,88440,114972,104654,8844,0,344916,498212,231418,4422,0,0,5896,0,0,0,
130.225.254.116_19.19.19.8,231,0,0,112,196342,4422,299504,0,655742,60434,7370,0,4653,0,0,290378,0,5896,0,0,0,0,881018,243210,23584,0,0,0,0,0,0,0,0,125290,428934,16214,0,13266,0,0,0,0,0,10318,1474,4422,0,0,0,8844,4422,583704,0,169510,1474,283008,4422,576334,63382,148874,440726,141504,10318,4422,249106,4422,331650,4422,375870,206360,0,0,0,8844,439252,101706,218152,396506,0,0,0,8844,383240,0,8844,13266,165088,1474,0,0,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8844,0,8844,4422,0,10318,28006,131186,0,0,0,8844,
130.75.2.22_19.19.19.13,473,812,28656,197306,154494,1474,0,0,15747,178354,296274,524766,206818,13266,540958,405350,0,22110,0,0,5896,26532,468732,411246,402382,0,257141,641190,477576,467612,433690,503652,371104,10318,0,309540,566114,29786,207212,402402,0,361130,610018,446792,340364,4422,0,51590,44220,207834,16214,47168,535062,338274,0,229944,484038,357418,446622,217182,56012,5896,340494,442200,331650,0,0,222574,0,263846,517374,486784,0,46359,383240,365552,297748,449570,215204,44220,505582,652982,397343,297746,94674,137082,106128,791538,66812,11792,104654,154770,28006,0,305118,0,0,231418,487894,510004,119394,58960,265320,78122,364078,400928,792488,506620,94616,18980,0,0,98758,114972,61908,8844,330176,520322,428934,547506,
137.189.4.14_19.19.19.15,886,1232,687,36525,58682,0,181512,49420,126764,22110,581328,0,0,269142,397980,0,0,328702,716736,385542,0,13266,13266,0,229944,728156,408298,32428,190146,0,221100,0,39798,592548,804804,292740,44004,413517,4422,19162,8844,0,5896,54538,182776,16214,53064,602866,337546,89914,194568,11792,0,150348,30954,445148,446622,29480,173932,339020,498212,293326,0,219626,234366,41272,104654,142978,0,281534,369974,67804,182776,45694,451044,238788,67804,381766,0,0,13266,0,241736,113498,0,85492,449570,0,85492,925092,277112,75174,582230,546854,0,73700,341968,7370,0,272690,2948,10318,70752,156244,63382,377344,704572,759110,697996,186495,779746,0,112024,300696,0,284482,750266,536536,0,0,
147.102.222.211_19.19.19.14,22858,93528,135550,0,386606,69928,5896,0,510004,276212,0,673422,66456,5896,0,0,187198,870386,191822,8844,0,1474,0,0,5896,0,0,0,0,0,390610,819914,134238,0,0,0,0,0,0,0,547963,0,586652,175286,257950,39798,0,14740,112024,1474,5896,10318,1474,8844,179828,13266,0,119394,341968,79596,178354,440726,56012,0,0,0,36850,1474,150348,2948,664774,411246,345216,0,0,0,2948,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4422,0,0,0,0,0,0,0,0,0,0,0,25058,464310,
153.19.251.225_19.19.19.28,45244,1514,15140,190712,300736,0,225586,690384,472368,554124,722178,611452,4542,666160,593488,16654,4542,4542,9084,9084,481452,7570,3028,455714,251324,9084,460256,9084,517788,205904,305828,137774,248296,243754,6056,1514,0,0,0,404238,535956,19682,699468,738832,625282,389098,290688,16654,286146,608628,140802,181680,37850,171082,375472,358818,490536,4542,16654,165026,24224,549582,654048,152914,214988,463284,0,1514,0,0,9084,15140,313398,454200,629824,136260,139288,380014,384556,711580,305828,6056,0,0,54504,687356,770626,587432,0,0,0,39364,386070,0,245268,535956,363360,1514,0,0,6056,0,0,0,0,0,3028,0,0,0,0,0,0,0,0,0,0,0,0,1514,
163.178.174.25_19.19.19.6,231,0,0,0,112,298652,4422,553346,0,403876,876526,611710,125521,104654,399454,0,48642,10318,0,5896,184250,495906,24174,0,15149,0,8844,0,5896,7370,0,400928,0,545380,72226,116446,114972,113498,1474,319858,1474,402402,1474,387662,316910,1474,4422,0,0,0,0,0,0,0,4422,5896,137082,452518,120868,1474,0,0,170984,442200,619080,10960,4422,358182,4422,4422,168036,0,0,10318,7370,1474,160666,601392,257950,8844,350812,557172,389136,308066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26532,92862,179828,0,1474,0,0,0,13266,159192,5896,0,237314,420090,452518,
192.38.78.162_19.19.19.7,231,0,0,112,1355,15902,0,168494,54010,189708,221100,191620,5896,639716,464196,0,190146,98758,166562,448096,0,60434,197516,137082,16214,0,8844,5896,0,222574,0,456940,89914,98758,156244,209308,90236,22110,0,0,0,1474,719312,448096,1474,10318,81070,1474,787116,227502,333124,769428,56012,246158,7370,4422,0,0,0,4422,552750,25058,1474,0,0,5896,0,0,0,0,0,198990,465784,8844,198990,11792,4422,193094,212256,8844,110550,231418,196042,5896,0,204886,209308,10318,25058,255002,882926,117690,236505,306592,35376,253528,0,0,0,19689,386188,430408,870218,176880,263846,547460,26532,147400,23584,512952,319858,555698,971366,624976,30954,514426,263846,13266,0,1474,
