112.124.140.210_19.19.19.2,27777,0,0,0,3058,27252,58902,40770,0,67968,60016,36421,38873,42082,3058,24164,7536,63921,0,3058,30282,2948,116006,24110,166562,78334,211469,187000,0,180430,21244,56006,80146,167584,0,5896,0,0,10845,0,0,0,0,0,535062,14495,0,0,12124,4560,0,0,4422,9150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4422,3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474,
115.124.75.126_19.19.19.24,5351,2403,9984,1335,1780,5086,5078,5186,3898,5176,0,2580,5208,1780,1780,1780,1335,890,445,1780,890,445,1780,7115,0,6396,8150,1780,1780,1780,1780,1419,1780,1780,1780,1335,3416,1780,1780,1335,1780,1780,1335,1389,890,499,391,499,890,890,1814,1170,2404,2177,780,944,836,499,836,944,1335,1281,1335,890,890,890,944,1281,1361,557,890,890,1281,890,890,890,944,836,1462,633,1160,2002,1158,1158,1158,2436,1438,1963,1791,3827,1178,3689,7540,4681,18388,91008,408910,325754,524744,339020,337546,56061,1281,944,1335,890,890,944,890,890,1335,1281,499,836,890,890,499,1726,1389,1335,
123.255.202.74_19.19.19.23,4114,6938,22527,18887,66646,128714,1514,28766,119657,12104,1367,12342,6850,243636,33710,0,0,0,106866,10598,554640,204046,15140,390020,0,25812,437522,48204,58696,51052,30280,104454,19682,30280,19682,827134,146758,21450,608133,272260,266746,13880,236825,109008,33308,40878,15140,1514,0,31794,221044,208932,371645,317940,116578,81756,49962,77214,258894,257380,363360,657076,357304,351248,405752,475396,378500,274034,424312,239990,254352,353942,263808,188800,284632,245268,346686,145344,124148,225586,469340,363156,230128,367418,265828,270262,219237,66501,2484,5194,2766,7664,15713,9247,7222,12060,12758,7629,6950,0,7872,6879,0,6968,6661,6875,4056,2971,6841,6839,4056,2413,7682,0,6738,54,6926,6572,8478,6843,
129.69.8.112_19.19.19.14,18084,20722,0,0,374648,154769,1514,934096,295230,266464,894774,33308,316426,697954,211960,16654,4542,6056,369416,684328,56018,1123388,18168,1347460,18168,1616952,22710,866008,10598,429976,24224,1052230,1727474,46934,1115818,25738,687356,19682,451957,4166,8684,4362,4416,4308,6550,0,54,6442,54,6442,6496,566,8495,6550,6442,0,6496,0,9013,54,12401,4265,0,4377,54,10278,54,4086,4262,0,54,5299,54,6974,0,0,4156,0,0,0,54,24563,0,54,0,1474,23039,0,10055,9031,0,0,8765,0,54,19812,0,0,54,16683,0,0,0,4098,0,0,0,0,4079,0,0,0,5950,2107,0,0,0,162,5031,0,
130.225.254.116_19.19.19.6,22617,16630,250588,87059,865486,35376,160666,722260,1076020,60434,1543278,17688,692780,23584,1174778,14740,5896,0,13266,1093708,0,0,458414,1218998,0,762058,81070,654456,1123188,79596,250580,953678,2433995,27147,18602,9204,30287,7729,21576,0,3622,6303,7882,44092,923844,50116,698676,2888628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,166,2503,0,0,0,0,0,
134.157.176.20_19.19.19.10,12519,9108,10820,0,0,0,0,0,0,0,0,0,0,0,43190,170155,34780,0,25723,0,5896,0,0,0,126764,49524,76692,37092,24410,17008,58534,80262,93350,76774,98772,13840,95540,0,10318,137066,9008,81652,78976,27926,127750,50106,42596,70928,94052,64866,29562,80518,42746,88440,114176,4586,22110,143406,26074,50592,59702,83534,48642,58220,29186,27468,55962,82036,93036,94906,63462,61214,28970,28862,42812,45016,69858,83592,92334,80156,88574,79032,97650,59020,70918,22746,42488,17008,64434,74256,103226,132304,141262,106122,122168,121196,78816,63516,3112,28970,52742,61970,87774,86650,111222,101562,119316,54936,62392,77098,78924,101886,86370,73932,91588,4504,22110,98758,57946,70840,
137.189.4.14_19.19.19.18,7093,9404,10202,0,0,0,0,0,0,0,0,16522,32146,1514,336668,36156,95829,78120,90192,573632,16570,247439,7570,0,723692,140253,81336,21458,231137,1514,0,0,7570,27252,2032414,202770,336652,710398,261624,388903,881162,480640,455106,293716,96896,125662,68130,96896,263436,119606,0,86298,278576,280090,92354,65102,39364,69644,222558,208932,323996,579862,355790,333080,316426,419378,290688,255866,1105220,534442,266464,332324,1878,0,1713,54,2117,2150,0,54,2263,54,2096,2150,0,5082,5028,54,4974,5082,0,1230,6792,0,162,0,5141,0,162,58,5083,0,162,112,5029,54,526,0,1350,0,9324,5994,54,108,1246,0,54,2293,3694,54,
137.226.34.46_19.19.19.12,9694,33023,540132,1352,1502,448272,1661202,122342,292298,645612,4422,759110,807752,4422,443674,4422,577808,543906,16214,66330,624976,25058,172458,440726,1474,703098,963996,26532,968418,958100,2504326,380292,977262,0,403075,5942,6813,22259,38436,1528,1640,21094,21620,54,166,13266,6560,0,54,19938,108,19992,18562,25265,54,3114,1687,0,0,2187,54,166,16472,54,166,1855,54,0,1797,54,0,1363,54,0,0,112,2435,54,0,0,3114,13669,0,0,112,3312,54,54,9060,54,0,6441,54,54,2211,54,0,112,2490,54,0,2087,54,0,0,1575,54,0,54,20748,22487,0,0,0,2260,54,0,54,2741,54,
141.76.1.200_19.19.19.15,9735,14893,541853,660371,1514,62074,392126,1088566,1483720,902344,696440,478424,542012,560180,4542,105980,139288,9084,1635120,7570,9084,978044,342606,864494,2289168,0,15140,1191518,9084,605600,412396,6325,6837,3544,4666,5200,3544,21024,19518,11536,11534,19464,10947,3187,0,3293,0,3239,0,3237,0,3221,3049,5932,0,2991,0,0,2776,0,54,2939,2991,0,2991,0,0,2989,0,2774,0,2991,0,0,2989,0,0,2989,54,0,0,2987,0,54,2917,0,2989,0,2987,0,2987,0,2985,0,0,2969,0,0,3243,0,0,3241,0,0,3241,0,0,3239,0,0,3223,0,0,3245,0,0,0,3243,3243,0,
147.102.222.211_19.19.19.17,5101,4047,6178,6120,11772,112,0,0,0,0,0,0,0,0,0,33476,24240,35376,0,0,204351,10318,19620,219849,4672,30168,245634,382242,10318,794781,37332,758390,62656,779746,792192,25058,1857826,1316460,0,617606,2363524,68524,331650,56012,0,1474,2948,10318,45694,197516,311014,278586,1546178,435308,241736,191620,82544,153296,433356,389136,36850,97284,119394,142978,162140,109862,1921,2581,0,0,2591,0,0,0,0,3045,0,0,58,2585,0,0,0,2643,0,0,2643,0,0,2643,0,0,1388,807,1275,4827,8226,0,0,58,7469,0,0,0,4672,46120,0,0,0,12236,38990,0,0,0,3033,0,0,0,3033,0,
147.229.3.144_19.19.19.3,12502,12820,0,0,0,0,0,167209,61098,298652,429390,543122,484946,473154,10318,375870,4422,0,0,10318,1006742,1162986,274164,11792,44220,1401774,1043592,57486,1335444,8844,0,0,0,0,389136,1276484,43728,0,0,54538,627924,56012,683936,32428,116446,305118,63382,1474,201938,103180,29480,42746,26532,41272,150348,515900,576334,456940,1030855,4189,0,2364,2364,54,2364,0,2364,1446,0,1446,1446,54,1392,566,2269,2013,54,1392,1446,0,1446,0,4576,0,8192,0,10089,0,10197,0,10089,10143,0,2377,11306,0,54,10035,10143,10143,0,636,3940,54,3301,0,3355,0,0,3353,0,54,3283,0,3150,0,3148,0,0,54,
147.52.159.12_19.19.19.16,5084,6735,20768,11491,51246,64716,172651,3927,2356,102562,4422,148632,247632,4422,592918,717838,673823,364078,23584,1290260,831864,23584,1500302,48974,884400,1347596,39798,1574232,1210154,22110,1502006,34240,1373768,0,50116,22110,660352,16214,221343,1188,1616,3798,9317,1672,112,1612,58,2829,112,1674,5118,1861,6328,6434,1789,1801,2107,166,1995,2067,2239,1889,5340,1971,112,2690,9335,0,4670,3230,112,2042,3296,58,2438,58,2471,1991,54,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4422,48642,145290,18178,11792,97284,48642,35376,110550,82544,91388,451510,1336696,19079,
148.6.0.24_19.19.19.19,31555,308018,0,167018,523046,1624932,1514,39364,283118,626796,897802,18168,1514,1159724,59046,257380,405752,9084,431490,9084,2157450,19682,719150,0,0,847840,1506058,10598,346706,0,912942,57532,1193032,1023464,339134,5226,11084,10955,2954,3031,3773,3480,1871,1686,580,580,1160,3998,3434,6864,3484,9669,13133,6562,3280,6546,3282,3278,3276,6542,3276,6550,3547,3496,3490,6812,0,3422,6878,0,3436,6852,3434,54,3432,3378,3430,580,634,1291,2266,1794,1686,1740,1813,1272,2266,2374,1740,1740,1291,3426,2320,1794,1759,1798,97672,124990,231804,315436,271216,459888,287430,571912,1044216,540958,135608,384714,311014,953678,601392,368500,181302,168036,610236,187198,751740,1148246,41272,514426,
193.1.193.64_19.19.19.25,8014,2440,0,20937,552,54,19243,82658,1514,285497,233422,4542,498106,1146086,222260,25738,4542,6056,416350,0,369416,27252,118092,602572,500856,887120,0,16654,48448,295230,12112,499620,249810,30280,0,0,15140,15140,1114304,508660,591848,1124914,1060440,1514,3028,18168,9084,25738,71158,33308,0,78728,1307304,395458,254846,175624,113550,177138,460256,389098,561694,778616,1693,0,1595,54,1810,0,1843,0,1843,0,1843,0,0,1843,0,54,20883,0,0,14650,6341,0,54,20937,0,20991,0,0,645,2369,14547,6336,0,0,54,0,0,4422,16461,0,0,0,220,20938,0,0,0,0,7590,13514,0,0,0,54,1868,0,0,0,
193.166.3.5_19.19.19.7,8080,8187,100472,276822,4025,299634,420897,455612,219626,1989900,0,39798,0,0,19689,0,0,0,0,0,706046,961048,673618,1310386,243210,449570,505582,551276,229944,272690,0,5896,0,98758,14740,698676,1279432,1487266,2580909,2972,4072,1207,2252,1990,3672,1266,3890,5264,4750,5812,0,0,5866,0,5812,54,5758,1320,8452,5812,0,5812,0,54,5757,0,2755,0,2091,0,0,2091,0,0,2089,0,0,2073,0,0,0,1982,0,0,0,1980,0,0,2052,0,0,112,1925,0,1846,0,0,1981,0,1979,0,0,1979,0,0,0,1977,0,0,0,1844,0,0,0,1979,0,0,0,1977,0,
193.190.67.98_19.19.19.1,21652,49383,308823,35492,13948,1860,1071,768,73138,113214,0,20636,0,0,0,306592,173140,92862,485748,64856,961382,641190,790064,129712,1204258,337534,0,692459,19162,0,1304835,533514,136224,399454,0,667722,1358464,393944,8844,0,1544084,242934,322806,363976,168036,1629076,341395,8166,4058,4058,0,4112,0,54,4004,9040,0,32690,225786,118293,0,0,54,0,0,0,1406,0,0,0,0,54,166,1202,0,0,0,0,54,0,0,7270,2001,0,0,0,54,0,0,0,567,1103,0,0,0,0,54,0,470,0,0,0,0,54,0,0,0,470,0,0,0,0,54,0,0,0,112,358,0,0,
193.50.27.70_19.19.19.9,6754,8985,13852,54102,259504,92862,178287,4888,1662,200954,77054,36850,0,0,327956,37156,461362,716364,746486,737000,78122,787116,742896,1319230,1379664,144452,61908,425986,150348,440726,147400,813648,0,104654,1192466,369974,154770,1709840,667722,1482540,5506,5618,3576,3576,2679,3239,3576,4022,6396,58,7424,3847,0,3060,8269,112,11217,11329,1484,2057,3635,8269,0,58,11271,112,11217,11275,54,58,1318,3793,0,0,3791,0,112,3679,0,3060,729,0,58,3661,54,0,3561,0,0,3559,0,3559,0,3557,0,0,112,3191,3559,0,0,3557,0,58,3499,0,0,3501,54,0,3060,241,0,0,3503,54,0,3555,0,0,
193.6.176.62_19.19.19.20,7675,7707,11058,322668,7150,1198874,269492,30280,1514,1000754,0,225586,573806,84784,482966,161998,210446,10598,806962,6056,1514,938680,201968,716122,1772894,37850,1159724,21196,796364,3028,0,732776,1785006,0,1688110,104466,471563,5622,49999,44478,236218,9173,8910,0,2461,0,108,54,2232,409,57540,246782,19438,0,2637,0,54,54,7482,103180,212454,0,0,0,0,6652,0,54,0,0,0,2073,409,54,0,0,0,0,0,166,2353,0,54,0,0,0,2695,0,54,0,0,166,2525,0,54,0,2110,409,54,0,0,0,0,54,2428,0,54,0,0,3114,3538,54,0,0,0,0,112,241902,81804,54,
194.158.119.190_19.19.19.8,9471,124365,399708,1599028,391970,2073918,2771120,3011382,0,61908,92862,987580,729630,101706,14740,566016,492316,57486,0,5896,89914,247632,91388,825440,0,1090760,201939,5770,5969,4368,3954,9328,9011,22572,8898,160,3156,22430,0,6167,6816,5812,5621,5460,5256,5458,5454,2526,2728,2726,0,2726,0,2724,0,2708,0,2726,2778,2670,2776,0,0,2706,0,54,2857,0,2909,0,2909,0,0,54,2853,0,2891,0,2913,0,0,0,0,2911,0,0,2911,0,0,2909,0,0,0,2893,0,54,2855,0,2907,0,2907,0,2905,0,0,0,2889,0,0,0,15128,142286,29480,107602,141504,74451,54,0,0,0,
194.19.194.51_19.19.19.5,8789,25341,360114,1313158,3771212,3277728,1615504,255002,1944206,344916,1049488,0,86966,734052,1096864,4260,4833,3743,6234,4944,4156,11157,10746,3300,5662,4666,11728,11704,6502,8784,5906,11650,3000,3051,4268,2214,4246,2052,2104,4044,1916,2104,4042,2046,1914,2048,2046,2046,2044,0,0,0,2082,0,0,0,2046,0,2044,2044,0,0,0,2042,0,0,0,2026,0,0,0,2218,0,0,0,2162,0,0,0,0,54,2275,0,0,0,0,162,0,2219,0,0,0,2144,0,0,0,54,2112,0,0,2164,0,0,0,54,2110,0,0,0,0,2329,0,0,0,0,2146,0,0,0,0,
195.228.252.133_19.19.19.21,7799,13518,288111,76913,992748,165292,470854,932384,274034,319454,704010,764570,195306,161998,4542,290688,0,383042,1683568,825130,935652,25738,2544904,13626,772140,457228,1291442,667674,507190,24881,5527,6020,3156,2538,2214,5486,3204,174,4451,5972,4573,6022,4547,1521,1575,1519,1728,54,3332,3382,1676,3390,5058,5072,1688,918,810,918,810,1350,1728,1674,1350,810,1296,913,976,1242,1350,1296,864,1296,1296,1242,23286,159698,513044,159192,203412,240262,495264,458414,424512,442200,324280,905322,563068,1322178,1152668,399454,364078,1656776,2774558,844602,579282,430408,1381138,318384,0,8844,45694,54538,210782,209308,1009690,369974,98758,216678,300696,23584,8844,113498,53064,38324,125290,91388,86966,753214,47168,129712,
202.3.245.121_19.19.19.11,13537,11090,0,70115,407318,20836,52554,18641,4542,828280,773754,472368,1514,928082,291444,307342,451172,9084,30280,696440,240066,10598,557271,1009838,21196,1123388,9084,1141556,63588,448144,1604840,278576,1232396,941708,1087052,10598,904179,7431,6655,5145,3802,5091,1715,2517,0,6502,0,0,1055,8660,0,8714,17320,3134,1329,8606,54,8606,54,8606,7564,1096,1331,3577,0,2983,0,54,2929,2981,0,54,2711,0,2983,0,0,2981,0,0,2981,0,54,2925,0,2763,0,2981,0,2979,0,2979,54,2923,0,2961,0,0,2979,0,0,2977,0,0,2977,0,2975,0,0,2959,0,0,3234,0,0,0,3232,54,3178,3230,
