9090964	112
9107331	108
9306314	1528
9306549	136
9306806	1528
9317579	1528
9317712	1528
9317966	1528
9318395	1528
9318677	1528
9325401	1528
9325602	1528
9326014	1528
9326246	360
9486065	1528
9486661	136
9488243	1528
9488670	136
9489246	1528
9489487	136
9489885	1528
9490020	136
9490278	1528
9490748	136
9491197	1528
9491441	136
9491683	1528
9491812	136
9491946	1528
9492244	136
9492613	1528
9492907	136
9493130	1528
9493392	1528
9493583	164
9509721	1528
9510104	1528
9510338	1528
9510469	1528
9510597	1528
9510725	1528
9511039	1528
9511173	1528
9511518	1528
9511652	360
9665864	1528
9666090	136
9666623	1528
9666771	136
9667148	1528
9667282	136
9668337	1528
9668478	136
9668962	1528
9669368	136
9670292	1528
9670443	136
9670792	1528
9670926	136
9671207	1528
9671472	136
9671695	1528
9671824	136
9671951	1528
9672208	136
9677204	1528
9677350	1528
9677680	164
9677812	1528
9678067	136
9678214	1528
9678355	136
9678699	1528
9678836	136
9679195	1528
9679428	136
9679555	1528
9679698	136
9679841	1528
9680213	136
9680458	1528
9680683	136
9680810	1528
9680947	136
9682901	1528
9683152	136
9683285	1528
9683583	136
9685203	1528
9685350	1528
9685661	164
9694174	1528
9694337	1528
9694469	1528
9694781	1528
9694961	1528
9695092	1528
9695396	1528
9695926	1528
9696083	1528
9696482	1528
9696660	1528
9696789	1528
9697071	444
9843810	1528
9844824	1528
9844958	164
9845109	1528
9845243	136
9845436	1528
9845578	136
9845971	1528
9846198	136
9846838	1528
9847136	136
9847368	1528
9847918	136
9848932	1528
9849558	136
9849903	1528
9850036	136
9850515	1528
9850766	136
9850897	1528
9851117	136
9851243	1528
9851453	136
9851585	1528
9852189	136
9852434	1528
9852818	136
9853043	1528
9853547	136
9853775	1528
9853903	136
9854041	1528
9854166	136
9854519	1528
9854652	136
9855151	1528
9855747	136
9855971	1528
9856351	136
9858353	1528
9858486	136
9860077	1528
9860432	136
9862246	1528
9862598	136
9862819	1528
9862947	136
9866274	1528
9866423	136
9866551	1528
9866893	136
9867023	1528
9867375	1528
9867601	164
